name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Chancecllor Barnard,22,0.134,0.147,0.75,0.25,NA,0,2018-19
Caleb Stewart,8,0.1,0.154,0.857,0.013999999999999999,0.032,1,2018-19
Everson Davis,7,0.107,0.14800000000000002,0.667,0.017,0,0,2018-19
Calistus  Anyichie,5,0.161,0.23800000000000002,1,0,0,NA,2018-19
Albert Odero,5,0.23800000000000002,0.231,0.6,0,0,NA,2018-19
J.C. Show,2,0.038,0.083,1,0,0,NA,2018-19
Calvin Poulina,2,0.28600000000000003,0.5,1,0,NA,NA,2018-19
RICHARD,2,0.07400000000000001,0.067,0.5,0,0,NA,2018-19
Tyler Stewart,1,0.2,0,0,0,0,NA,2018-19
Sam Sessoms,1,0,0,NA,0.008,0,0,2018-19
Total,55,0.076,0.099,0.76,0.013000000000000001,0.006999999999999999,0.2,2018-19
