name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Hayden Koval,19,0.158,0.145,0.667,0.044000000000000004,0.031,0.25,2018-19,CentralArk.
Matthew Mondesir,15,0.109,0.08199999999999999,0.4,0.122,0.182,0.4,2018-19,CentralArk.
Khaleem Bennett,10,0.091,0.10300000000000001,0.75,0.040999999999999995,0,0,2018-19,CentralArk.
Eddy Kayouloud,9,0.08900000000000001,0.171,1,0.038,0.05,0.5,2018-19,CentralArk.
Jared Chatham,8,0.154,0.20800000000000002,0.833,0.040999999999999995,0,0,2018-19,CentralArk.
Tanner Schmit,6,0.217,0.294,1,0.019,0.055999999999999994,1,2018-19,CentralArk.
SK Shittu,3,0.038,0,0,0.033,0,0,2018-19,CentralArk.
Thatch Unruh,2,0.015,0.023,1,0.016,0.037000000000000005,1,2018-19,CentralArk.
Deandre Jones,1,0.011000000000000001,0.022000000000000002,1,0,0,NA,2018-19,CentralArk.
Total,73,0.08900000000000001,0.107,0.722,0.037000000000000005,0.035,0.316,2018-19,CentralArk.
