name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Christian Jacob,23,0.168,0.179,0.609,0,0,NA,2018-19
Delshon Strickland,9,0.09300000000000001,0.115,0.75,0.033,0.071,1,2018-19
Cameron Bowles,8,0.078,0.073,0.5,0,0,NA,2018-19
Ken Odiase,7,0.16699999999999998,0.19,0.667,0.091,0,0,2018-19
Patrick Szpir,7,0.121,0.07400000000000001,0.28600000000000003,0,0,NA,2018-19
Rob Shaw,5,0.018000000000000002,0.024,0.667,0.006,0.02,1,2018-19
Travon Bell,5,0.077,0.053,0.5,0.026000000000000002,0,0,2018-19
Anthony Harris,5,0.022000000000000002,0.027000000000000003,0.667,0.026000000000000002,0.037000000000000005,0.5,2018-19
Eugene Witherspoon,4,0.154,0.188,0.75,0,0,NA,2018-19
Noah Bigirumwami,1,0,0,NA,0.111,0,0,2018-19
Total,74,0.08,0.086,0.583,0.015,0.023,0.5,2018-19
