name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Nysier Brooks,25,0.223,0.22399999999999998,0.652,0.024,0.031,0.5,2018-19,Cincinnati
Keith Williams,23,0.165,0.16,0.6,0.033,0,0,2018-19,Cincinnati
Tre Scott,15,0.124,0.172,0.917,0.016,0.02,0.5,2018-19,Cincinnati
Eliel Nsoseme,15,0.5,0.5,0.41700000000000004,0.214,0.2,0.33299999999999996,2018-19,Cincinnati
Jarron Cumberland,9,0.034,0.06,1,0.027999999999999997,0.026000000000000002,0.33299999999999996,2018-19,Cincinnati
Rashawn Fredericks,7,0.20800000000000002,0.125,0.4,0.087,0,0,2018-19,Cincinnati
Logan Johnson,6,0.231,0.25,0.667,0,0,NA,2018-19,Cincinnati
Cane Broome,4,0.057,0.10300000000000001,1,0,0,NA,2018-19,Cincinnati
Mamoudou Diarra,4,0,0,NA,0.138,0.25,0.5,2018-19,Cincinnati
Trevor Moore,3,0.182,0.28600000000000003,1,0,0,NA,2018-19,Cincinnati
Justin Jenifer,2,0.027000000000000003,0.05,1,0.021,0.055999999999999994,1,2018-19,Cincinnati
Total,113,0.14300000000000002,0.158,0.67,0.032,0.03,0.348,2018-19,Cincinnati
