name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Chris Knight,385,0.527,0.509,0.5579999999999999,0.591,0.52,0.369,0.401,0.40399999999999997,0.073,0.28600000000000003,0.875,0.28800000000000003,0.622,2018-19
Brendan Barry,292,0.626,0.604,0.257,0.507,0.21100000000000002,0.12,0.486,0.11800000000000001,0.623,0.445,0.741,0.175,0.843,2018-19
James Foye,248,0.609,0.593,0.35100000000000003,0.598,0.231,0.141,0.4,0.14300000000000002,0.508,0.429,0.87,0.145,0.8059999999999999,2018-19
Adrease Jackson,165,0.496,0.455,0.285,0.596,0.607,0.2,0.33299999999999996,0.273,0.515,0.282,0.917,0.248,0.805,2018-19
Ian Sistare,163,0.6639999999999999,0.629,0.368,0.6829999999999999,0.439,0.12300000000000001,0.3,0,0.509,0.446,0.919,0.28800000000000003,0.872,2018-19
Aaryn Rai,133,0.536,0.489,0.496,0.53,0.371,0.203,0.444,0.16699999999999998,0.301,0.3,0.917,0.28600000000000003,0.8420000000000001,2018-19
Taurus Samuels,119,0.479,0.45,0.244,0.517,0.267,0.168,0.35,0,0.588,0.3,0.9520000000000001,0.294,0.657,2018-19
Guilien Smith,73,0.42400000000000004,0.37,0.384,0.536,0.133,0.096,0,NA,0.521,0.21100000000000002,0.875,0.27399999999999997,0.8,2018-19
Wes Slajchert,68,0.48200000000000004,0.449,0.17600000000000002,0.583,0.14300000000000002,0.17600000000000002,0.33299999999999996,0.5,0.647,0.295,0.9229999999999999,0.20600000000000002,0.7859999999999999,2018-19
Will Emery,44,0.33799999999999997,0.35200000000000004,0.591,0.423,0.636,0.318,0.214,0.667,0.091,0.25,1,0.659,0.276,2018-19
Ian Carter,34,0.556,0.544,0.382,0.6920000000000001,0.556,0.265,0.556,0.2,0.353,0.25,1,0.235,0.625,2018-19
Isaac Letoa,12,0.561,0.583,0.667,0.75,0,0.16699999999999998,0.5,1,0.16699999999999998,0,NA,0.083,0,2018-19
Garrison Wade,10,0.727,0.7,0.4,0.75,0.33299999999999996,0.1,1,1,0.5,0.4,1,0.5,0.8,2018-19
Ben Swett,3,0.6669999999999999,0.667,0.33299999999999996,1,0,0.33299999999999996,1,1,0.33299999999999996,0,NA,0,NA,2018-19
"AIKEN,BRYCE",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-19
Total,1748.9999999999998,0.552,0.528,0.384,0.578,0.397,0.205,0.38799999999999996,0.28800000000000003,0.41200000000000003,0.36700000000000005,0.856,0.249,0.72,2018-19
