name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Jose Alvarado,337,0.49899999999999994,0.457,0.32899999999999996,0.586,0.354,0.214,0.319,0.13,0.457,0.28600000000000003,0.818,0.312,0.743,2018-19,GeorgiaTech
Michael Devoe,250.99999999999997,0.525,0.486,0.36700000000000005,0.5539999999999999,0.275,0.207,0.154,0.375,0.426,0.39299999999999996,0.9520000000000001,0.371,0.71,2018-19,GeorgiaTech
James Banks III,227,0.591,0.564,0.5589999999999999,0.7170000000000001,0.593,0.441,0.37,0.45899999999999996,0,NA,NA,0.45399999999999996,0.68,2018-19,GeorgiaTech
Moses Wright,185,0.48700000000000004,0.484,0.43799999999999994,0.716,0.672,0.43200000000000005,0.3,0.45799999999999996,0.13,0.20800000000000002,0.6,0.243,0.489,2018-19,GeorgiaTech
Abdoulaye Gueye,162,0.537,0.525,0.33299999999999996,0.667,0.5,0.611,0.465,0.326,0.055999999999999994,0.222,1,0.29,0.596,2018-19,GeorgiaTech
Curtis Haywood II,157,0.483,0.45899999999999996,0.21,0.667,0.5,0.051,0.25,0,0.7390000000000001,0.276,0.938,0.159,0.76,2018-19,GeorgiaTech
Brandon Alston,130,0.594,0.542,0.32299999999999995,0.5710000000000001,0.33299999999999996,0.262,0.441,0.2,0.415,0.389,0.762,0.377,0.8370000000000001,2018-19,GeorgiaTech
Khalid Moore,84,0.5640000000000001,0.518,0.5710000000000001,0.583,0.536,0.16699999999999998,0.35700000000000004,0.2,0.262,0.318,1,0.762,0.6559999999999999,2018-19,GeorgiaTech
Evan Cole,60,0.511,0.467,0.5329999999999999,0.6559999999999999,0.7140000000000001,0.133,0.125,1,0.33299999999999996,0.2,0.75,0.433,0.6920000000000001,2018-19,GeorgiaTech
Kristian Sjolund,56.00000000000001,0.519,0.491,0.179,0.5,0.8,0.018000000000000002,0,NA,0.804,0.33299999999999996,0.8,0.179,0.8,2018-19,GeorgiaTech
Shembari Phillips,46,0.40800000000000003,0.37,0.348,0.562,0.444,0.174,0.25,0,0.478,0.182,1,0.196,0.778,2018-19,GeorgiaTech
Sylvester Ogbonda,18,0.396,0.33299999999999996,0.389,0.429,0.667,0.611,0.273,0.33299999999999996,0,NA,NA,0.556,0.6,2018-19,GeorgiaTech
Malachi Rice,1,0,0,1,0,NA,0,NA,NA,0,NA,NA,0,NA,2018-19,GeorgiaTech
Evan Jester,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2018-19,GeorgiaTech
Total,1714,0.525,0.49200000000000005,0.382,0.631,0.501,0.284,0.341,0.331,0.33399999999999996,0.307,0.8690000000000001,0.34299999999999997,0.6890000000000001,2018-19,GeorgiaTech
