name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Alessandro Lever,342,0.542,0.506,0.392,0.597,0.525,0.278,0.34700000000000003,0.455,0.33,0.354,0.925,0.313,0.748,2018-19
Carlos Johnson,339,0.587,0.537,0.48100000000000004,0.632,0.32,0.23,0.397,0.19399999999999998,0.289,0.327,0.344,0.45399999999999996,0.779,2018-19
Damari Milstead,293,0.506,0.45399999999999996,0.35200000000000004,0.485,0.1,0.345,0.376,0.079,0.304,0.337,0.7,0.386,0.752,2018-19
Michael Finke,256,0.639,0.607,0.348,0.809,0.556,0.223,0.544,0.452,0.43,0.318,0.914,0.309,0.81,2018-19
Trey Drechsel,235,0.514,0.485,0.272,0.6409999999999999,0.39,0.349,0.415,0.17600000000000002,0.379,0.292,0.731,0.298,0.6859999999999999,2018-19
Oscar Frayer,214,0.529,0.526,0.257,0.691,0.6579999999999999,0.15,0.312,0.5,0.593,0.33899999999999997,0.8140000000000001,0.201,0.535,2018-19
Tim Finke,104,0.48200000000000004,0.462,0.365,0.447,0.588,0.163,0.235,0.5,0.47100000000000003,0.36700000000000005,0.833,0.375,0.564,2018-19
Matt Jackson,103,0.535,0.51,0.379,0.615,0.625,0.282,0.414,0.833,0.34,0.314,1,0.301,0.677,2018-19
Roberts Blumbergs,56.00000000000001,0.531,0.491,0.41100000000000003,0.696,0.812,0.054000000000000006,0.33299999999999996,0,0.536,0.233,0.857,0.23199999999999998,0.846,2018-19
Gerard Martin,55.00000000000001,0.626,0.6,0.418,0.652,0.667,0.036000000000000004,0,NA,0.545,0.4,0.75,0.218,0.833,2018-19
Raef Gerdes,8,0.556,0.562,0,NA,NA,0.125,0,NA,0.875,0.429,0.667,0.5,0.5,2018-19
Quinn Smith,1,0,0,1,0,NA,0,NA,NA,0,NA,NA,0,NA,2018-19
"LUCAS,RONALD",0,1.053,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-19
"GILLARD,GRANTHAM",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-19
Total,2005.9999999999998,0.551,0.516,0.365,0.623,0.45799999999999996,0.248,0.39,0.314,0.387,0.331,0.77,0.332,0.731,2018-19
