name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Jahaad Proctor,443,0.5690000000000001,0.526,0.321,0.535,0.368,0.316,0.5429999999999999,0.19699999999999998,0.363,0.335,0.833,0.37,0.774,2018-19
Brandonn Kamga,269,0.533,0.519,0.405,0.5870000000000001,0.42200000000000004,0.20800000000000002,0.304,0.11800000000000001,0.387,0.375,0.795,0.26,0.614,2018-19
Ricky Madison,193,0.5750000000000001,0.573,0.767,0.628,0.602,0.13,0.4,0.5,0.10400000000000001,0.25,1,0.37799999999999995,0.562,2018-19
Jordan Whitehead,167,0.533,0.494,0.521,0.586,0.588,0.395,0.409,0.741,0.084,0.214,1,0.449,0.68,2018-19
Curtis Holland III,163,0.48700000000000004,0.457,0.221,0.5,0.33299999999999996,0.258,0.381,0.562,0.521,0.318,0.889,0.20199999999999999,0.758,2018-19
Jamal Wright,119,0.461,0.429,0.17600000000000002,0.524,0.455,0.22699999999999998,0.37,0.1,0.597,0.282,0.95,0.294,0.657,2018-19
Caden Sanchez,85,0.514,0.529,0.6709999999999999,0.614,0.371,0.271,0.304,0.429,0.059000000000000004,0.4,1,0.376,0.406,2018-19
Denny Slay,75,0.381,0.33299999999999996,0.187,0.429,0.33299999999999996,0.32,0.41700000000000004,0.1,0.493,0.162,0.5,0.253,0.737,2018-19
Tim Cameron,56.99999999999999,0.516,0.447,0.509,0.655,0.368,0.158,0.222,0,0.33299999999999996,0.158,1,0.684,0.6920000000000001,2018-19
Dexter Gooding,39,0.532,0.513,0.026000000000000002,1,1,0.077,0.33299999999999996,1,0.897,0.34299999999999997,1,0.077,1,2018-19
Rob Peterson III,35,0.445,0.386,0.371,0.385,0.4,0.257,0.111,1,0.371,0.385,1,0.8,0.5710000000000001,2018-19
Sam Berlin,20,0.313,0.3,0.6,0.41700000000000004,0.8,0.4,0.125,1,0,NA,NA,0.25,0.4,2018-19
Cliff Thomas Jr,9,0.742,0.667,1,0.667,0.5,0,NA,NA,0,NA,NA,0.889,0.875,2018-19
"WALTON,ISAIAH",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-19
"HOOVER,NATHAN",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-19
"NELSON,JA'COR",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-19
Total,1673.9999999999998,0.527,0.49700000000000005,0.405,0.575,0.47200000000000003,0.258,0.41200000000000003,0.331,0.337,0.312,0.8640000000000001,0.349,0.6709999999999999,2018-19
