name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
RJ Cole,511.00000000000006,0.5650000000000001,0.499,0.386,0.518,0.10800000000000001,0.19399999999999998,0.273,0.185,0.42100000000000004,0.391,0.512,0.47700000000000004,0.8109999999999999,2018-19
Charles Williams,463,0.552,0.505,0.212,0.6629999999999999,0.47700000000000004,0.441,0.387,0.43,0.348,0.373,0.9329999999999999,0.276,0.8590000000000001,2018-19
Chad Lott,341,0.532,0.506,0.37799999999999995,0.597,0.48100000000000004,0.522,0.41,0.315,0.1,0.441,0.5329999999999999,0.276,0.691,2018-19
Zion Cousins,165,0.451,0.42700000000000005,0.44799999999999995,0.595,0.364,0.455,0.253,0.789,0.09699999999999999,0.312,1,0.23,0.632,2018-19
Raymond Bethea,152,0.49899999999999994,0.47700000000000004,0.19699999999999998,0.6,0.5,0.21100000000000002,0.25,0.375,0.5920000000000001,0.344,0.871,0.184,0.7140000000000001,2018-19
Andre Toure,123,0.451,0.451,0.5770000000000001,0.5770000000000001,0.512,0.26,0.312,0.8,0.163,0.15,0.667,0.455,0.429,2018-19
Akuwovo Ogheneyole,114.99999999999999,0.546,0.504,0.748,0.581,0.48,0.217,0.32,1,0.035,0,NA,0.461,0.698,2018-19
Kyle Foster,101,0.56,0.53,0.069,0.7140000000000001,0.6,0.099,0.5,0.4,0.8320000000000001,0.345,0.862,0.27699999999999997,0.75,2018-19
Jalen Jones,33,0.4320000000000001,0.39399999999999996,0.424,0.28600000000000003,0.25,0.424,0.429,0.5,0.152,0.4,1,0.848,0.5,2018-19
Princewill Anosike,33,0.5670000000000001,0.485,0.636,0.47600000000000003,0.5,0.364,0.5,0.833,0,NA,NA,0.485,0.875,2018-19
Langston Gaither,15,0.52,0.5,0.5329999999999999,0.75,0.667,0.33299999999999996,0,NA,0.133,0.5,1,1,0.5329999999999999,2018-19
Justin Cotton,15,0.28200000000000003,0.233,0,NA,NA,0.33299999999999996,0.4,0.5,0.667,0.1,1,0.133,1,2018-19
Nate Garvey,14.000000000000002,0.702,0.75,0.071,0,NA,0,NA,NA,0.929,0.5379999999999999,0.857,0.14300000000000002,0,2018-19
Cameron Lewis,11,0.508,0.409,0.182,1,0.5,0.636,0.14300000000000002,1,0.182,0.5,1,0.909,0.7,2018-19
"AKUWOVO,SAVIOR",6,0.14400000000000002,0.16699999999999998,0.33299999999999996,0,NA,0.667,0.25,1,0,NA,NA,0.33299999999999996,0,2018-19
Phillip Jones,2,0.5,0.5,0,NA,NA,0.5,1,0,0.5,0,NA,0,NA,2018-19
Marcus Hall,1,1,1,1,1,0,0,NA,NA,0,NA,NA,0,NA,2018-19
"DAVIS,STANLEY",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-19
Total,2101,0.53,0.49,0.353,0.574,0.384,0.335,0.35,0.44299999999999995,0.313,0.364,0.741,0.354,0.731,2018-19
