name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Brandon Boyd,363,0.509,0.45899999999999996,0.42100000000000004,0.542,0.096,0.248,0.344,0.065,0.331,0.292,0.6,0.325,0.797,2018-19,IdahoSt.
Balint Mocsan,248,0.617,0.591,0.18100000000000002,0.644,0.10300000000000001,0.153,0.289,0.545,0.665,0.43,0.873,0.23399999999999999,0.81,2018-19,IdahoSt.
Kelvin Jones,217,0.5710000000000001,0.5529999999999999,0.433,0.649,0.475,0.5670000000000001,0.48,0.22,0,NA,NA,0.32299999999999995,0.657,2018-19,IdahoSt.
Chier Maker,202.99999999999997,0.548,0.532,0.256,0.654,0.382,0.138,0.5,0.28600000000000003,0.606,0.325,0.925,0.20199999999999999,0.6829999999999999,2018-19,IdahoSt.
Gary Chivichyan,190,0.61,0.6,0.084,0.562,0.111,0.121,0.522,0.41700000000000004,0.795,0.41100000000000003,0.935,0.13699999999999998,0.731,2018-19,IdahoSt.
Jared Stutzman,183,0.5710000000000001,0.53,0.18,0.667,0.5,0.153,0.321,0.444,0.667,0.361,0.8640000000000001,0.273,0.84,2018-19,IdahoSt.
Alonzo Walker,158,0.557,0.532,0.563,0.596,0.509,0.38,0.41700000000000004,0.04,0.057,0.444,1,0.361,0.667,2018-19,IdahoSt.
Sam Dowd,62,0.354,0.315,0.33899999999999997,0.47600000000000003,0.2,0.419,0.192,0,0.242,0.2,1,0.242,0.667,2018-19,IdahoSt.
Chidi Udengwu,40,0.539,0.5,0.75,0.5329999999999999,0.312,0.25,0.4,0.25,0,NA,NA,0.725,0.621,2018-19,IdahoSt.
Austin Smellie,38,0.597,0.539,0.263,0.6,0.833,0.105,0.25,1,0.632,0.375,0.889,0.447,0.8240000000000001,2018-19,IdahoSt.
Blake Truman,22,0.556,0.568,0.22699999999999998,0.8,0.5,0.091,0.5,0,0.682,0.33299999999999996,1,0.045,0,2018-19,IdahoSt.
Lyle Sutton,13,0.534,0.462,0.5379999999999999,0.7140000000000001,0.2,0.154,0.5,0,0.308,0,NA,1.2309999999999999,0.625,2018-19,IdahoSt.
Houston Wahlen,3,0.5,0.5,0,NA,NA,0,NA,NA,1,0.33299999999999996,1,0,NA,2018-19,IdahoSt.
Andrew Vaughn,2,0,0,0,NA,NA,0.5,0,NA,0.5,0,NA,0,NA,2018-19,IdahoSt.
"DANIELS,RUSSELL",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-19,IdahoSt.
Total,1742.0000000000002,0.555,0.526,0.319,0.598,0.322,0.25,0.39799999999999996,0.214,0.43200000000000005,0.364,0.865,0.28600000000000003,0.735,2018-19,IdahoSt.
