name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Tyler Cook,341,0.547,0.51,0.625,0.653,0.424,0.358,0.287,0.4,0.018000000000000002,0,NA,0.5920000000000001,0.644,2018-19,Iowa
Luka Garza,294,0.608,0.5660000000000001,0.408,0.708,0.518,0.34700000000000003,0.49,0.64,0.245,0.292,0.905,0.364,0.804,2018-19,Iowa
Jordan Bohannon,294,0.5790000000000001,0.515,0.18,0.377,0.2,0.11900000000000001,0.371,0.231,0.701,0.38299999999999995,0.7090000000000001,0.39799999999999996,0.872,2018-19,Iowa
Isaiah Moss,276,0.521,0.486,0.268,0.446,0.212,0.319,0.33,0.517,0.413,0.42100000000000004,0.875,0.243,0.7909999999999999,2018-19,Iowa
Joe Wieskamp,256,0.636,0.604,0.391,0.63,0.302,0.066,0.17600000000000002,0.33299999999999996,0.5429999999999999,0.424,0.915,0.402,0.767,2018-19,Iowa
Nicholas Baer,177,0.5770000000000001,0.562,0.226,0.625,0.64,0.107,0.368,0.857,0.667,0.381,0.956,0.32799999999999996,0.638,2018-19,Iowa
Ryan Kriener,141,0.594,0.5710000000000001,0.475,0.746,0.56,0.33299999999999996,0.36200000000000004,0.706,0.191,0.33299999999999996,1,0.38299999999999995,0.685,2018-19,Iowa
Connor McCaffery,97,0.521,0.392,0.44299999999999995,0.488,0.095,0.258,0.32,0.125,0.299,0.207,0.667,1,0.753,2018-19,Iowa
Maishe Dailey,88,0.44600000000000006,0.409,0.25,0.682,0.467,0.205,0.33299999999999996,0,0.545,0.20800000000000002,0.9,0.22699999999999998,0.75,2018-19,Iowa
Austin Ash,18,0.406,0.41700000000000004,0,NA,NA,0.111,0,NA,0.889,0.312,1,0.055999999999999994,0,2018-19,Iowa
Riley Till,12,0.5750000000000001,0.5,0.667,0.75,0.833,0.083,0,NA,0.25,0,NA,1.25,0.667,2018-19,Iowa
Nicolas Hobbs,5,0.8,0.8,0.4,0.5,1,0,NA,NA,0.6,0.667,1,0,NA,2018-19,Iowa
Michael Baer,4,0.508,0.625,0.5,0.5,0,0.25,0,NA,0.25,1,1,1,0.25,2018-19,Iowa
Cordell Pemsl,3,0.8160000000000001,0.667,0.33299999999999996,0,NA,0.667,1,0.5,0,NA,NA,1.3330000000000002,1,2018-19,Iowa
Total,2005.9999999999998,0.5690000000000001,0.527,0.371,0.616,0.418,0.239,0.355,0.5,0.39,0.364,0.856,0.423,0.7390000000000001,2018-19,Iowa
