name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Dedric Lawson,508,0.5780000000000001,0.525,0.415,0.654,0.428,0.409,0.365,0.316,0.175,0.39299999999999996,0.914,0.40399999999999997,0.815,2018-19
Devon Dotson,305,0.59,0.536,0.557,0.618,0.105,0.14400000000000002,0.205,0.111,0.298,0.363,0.9390000000000001,0.48200000000000004,0.782,2018-19
Quentin Grimes,276,0.496,0.48200000000000004,0.24600000000000002,0.544,0.568,0.17800000000000002,0.306,0.067,0.5760000000000001,0.34,0.9440000000000001,0.21,0.603,2018-19
Lagerald Vick,248,0.62,0.609,0.16899999999999998,0.643,0.37,0.24600000000000002,0.41,0.2,0.585,0.455,0.727,0.121,0.767,2018-19
Marcus Garrett,192,0.479,0.45299999999999996,0.5,0.573,0.255,0.245,0.298,0,0.255,0.245,0.917,0.391,0.5870000000000001,2018-19
Ochai Agbaji,156,0.543,0.522,0.34600000000000003,0.667,0.528,0.17300000000000001,0.40700000000000003,0.182,0.48100000000000004,0.307,0.9129999999999999,0.231,0.6940000000000001,2018-19
Charlie Moore,126,0.384,0.365,0.24600000000000002,0.355,0.182,0.159,0.25,0,0.595,0.267,0.8,0.111,0.7140000000000001,2018-19
David McCormack,88,0.626,0.625,0.614,0.667,0.611,0.386,0.5589999999999999,0.21100000000000002,0,NA,NA,0.39799999999999996,0.6,2018-19
K.J. Lawson,86,0.56,0.529,0.244,0.7140000000000001,0.4,0.244,0.524,0.091,0.512,0.295,0.9229999999999999,0.27899999999999997,0.75,2018-19
Udoka Azubuike,78,0.649,0.705,0.795,0.8059999999999999,0.66,0.205,0.312,0.6,0,NA,NA,0.41,0.344,2018-19
Mitch Lightfoot,56.99999999999999,0.557,0.561,0.579,0.636,0.429,0.24600000000000002,0.5710000000000001,0.125,0.175,0.2,0.5,0.614,0.514,2018-19
Chris Teahan,5,0.6,0.6,0,NA,NA,0,NA,NA,1,0.4,1,0,NA,2018-19
Garrett Luinstra,3,0,0,0.667,0,NA,0,NA,NA,0.33299999999999996,0,NA,0,NA,2018-19
Total,2128,0.555,0.526,0.397,0.629,0.38799999999999996,0.254,0.366,0.212,0.349,0.35,0.865,0.325,0.705,2018-19
