name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Barry Brown,425,0.515,0.48200000000000004,0.29600000000000004,0.635,0.36200000000000004,0.37200000000000005,0.392,0.21,0.332,0.298,0.7140000000000001,0.292,0.71,2018-19,KansasSt.
Kamau Stokes,311,0.519,0.48700000000000004,0.183,0.579,0.424,0.21899999999999997,0.265,0.278,0.598,0.36,0.91,0.26,0.741,2018-19,KansasSt.
Xavier Sneed,298,0.514,0.48700000000000004,0.228,0.529,0.583,0.248,0.37799999999999995,0.643,0.523,0.34600000000000003,0.889,0.295,0.67,2018-19,KansasSt.
Dean Wade,248,0.5730000000000001,0.5379999999999999,0.23399999999999999,0.69,0.5,0.544,0.43700000000000006,0.45799999999999996,0.222,0.418,0.9570000000000001,0.28600000000000003,0.789,2018-19,KansasSt.
Makol Mawien,190,0.553,0.532,0.484,0.652,0.583,0.474,0.42200000000000004,0.5529999999999999,0.042,0.25,0.5,0.268,0.6859999999999999,2018-19,KansasSt.
Cartier Diarra,136,0.543,0.504,0.309,0.595,0.32,0.147,0.15,0.33299999999999996,0.544,0.365,0.815,0.419,0.7020000000000001,2018-19,KansasSt.
Mike McGuirl,120,0.463,0.442,0.3,0.528,0.474,0.158,0.368,0.28600000000000003,0.542,0.27699999999999997,0.9440000000000001,0.225,0.63,2018-19,KansasSt.
Shaun Neal-Williams,57.99999999999999,0.32999999999999996,0.302,0.19,0.364,0.25,0.276,0.188,0.33299999999999996,0.534,0.226,0.5710000000000001,0.207,0.583,2018-19,KansasSt.
Levi Stockard III,45,0.537,0.556,0.511,0.696,0.5,0.489,0.409,0.778,0,NA,NA,0.37799999999999995,0.41200000000000003,2018-19,KansasSt.
Austin Trice,32,0.5,0.594,0.8440000000000001,0.7040000000000001,0.737,0.156,0,NA,0,NA,NA,1.3119999999999998,0.33299999999999996,2018-19,KansasSt.
Pierson McAtee,5,0.588,0.7,0.2,1,0,0.2,1,0,0.6,0.33299999999999996,1,0.4,0,2018-19,KansasSt.
James Love III,5,0.6,0.6,0.6,0.33299999999999996,0,0.4,1,1,0,NA,NA,0,NA,2018-19,KansasSt.
Nigel Shadd,3,0.253,0.33299999999999996,0.33299999999999996,1,1,0.667,0,NA,0,NA,NA,0.667,0,2018-19,KansasSt.
Patrick Muldoon,2,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,NA,2018-19,KansasSt.
Total,1878,0.52,0.493,0.29,0.615,0.478,0.326,0.376,0.42200000000000004,0.384,0.33399999999999996,0.855,0.306,0.667,2018-19,KansasSt.
