name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Lorenzo Phillips,347,0.559,0.507,0.207,0.569,0.098,0.19899999999999998,0.391,0.07400000000000001,0.594,0.35,0.792,0.294,0.882,2018-19
Jashaun Smith,265,0.5760000000000001,0.575,0.36200000000000004,0.667,0.312,0.166,0.409,0.111,0.47200000000000003,0.376,0.915,0.162,0.5579999999999999,2018-19
Isaiah Walton,197,0.5770000000000001,0.518,0.315,0.5479999999999999,0.147,0.239,0.426,0.1,0.447,0.364,0.7809999999999999,0.365,0.875,2018-19
Jaylon Wilson,189,0.534,0.503,0.302,0.579,0.152,0.14800000000000002,0.39299999999999996,0.091,0.55,0.327,0.941,0.233,0.773,2018-19
Sean Flood,150,0.5680000000000001,0.547,0.16699999999999998,0.44,0.182,0.067,0.2,0,0.767,0.4,0.7829999999999999,0.193,0.759,2018-19
Jordan Cintron,128,0.5670000000000001,0.535,0.547,0.6,0.262,0.141,0.389,0.28600000000000003,0.312,0.325,0.9229999999999999,0.68,0.632,2018-19
Damarion Geter,123,0.51,0.508,0.561,0.594,0.439,0.195,0.20800000000000002,0,0.244,0.36700000000000005,1,0.447,0.491,2018-19
Juan Munoz,117,0.616,0.585,0.188,0.409,0,0.094,0.364,0,0.718,0.44,0.73,0.231,0.852,2018-19
Spencer Franklin,89,0.61,0.528,0.8540000000000001,0.5660000000000001,0.442,0.124,0.364,1,0.022000000000000002,0,NA,0.843,0.773,2018-19
Gus Okafor,83,0.42000000000000004,0.386,0.24100000000000002,0.35,0.5710000000000001,0.084,0.5710000000000001,0.75,0.675,0.25,1,0.313,0.615,2018-19
Kamil Chapman,44,0.29900000000000004,0.261,0.159,0.14300000000000002,1,0.023,0,NA,0.818,0.19399999999999998,1,0.136,0.833,2018-19
Pernell Adgei,37,0.47200000000000003,0.43200000000000005,0.784,0.483,0.429,0.21600000000000003,0.25,0.5,0,NA,NA,0.73,0.556,2018-19
Michael Smith,2,0.75,0.75,0,NA,NA,0.5,0,NA,0.5,1,1,0,NA,2018-19
"HOLLAND,DEVONNTE",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-19
Joey Lipp,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2018-19
Total,1771,0.551,0.517,0.342,0.562,0.27899999999999997,0.158,0.373,0.163,0.501,0.354,0.8440000000000001,0.335,0.727,2018-19
