name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Kavaughn Scott,17,0.14300000000000002,0.134,0.529,0,0,NA,2018-19,LoyolaMaryland
Andrew Kostecka,15,0.057999999999999996,0.057,0.667,0.016,0.038,1,2018-19,LoyolaMaryland
Casmir Ochiaka,12,0.193,0.205,0.727,0.05,0,0,2018-19,LoyolaMaryland
Brent Holcombe,10,0.16,0.22899999999999998,1,0.111,0.125,0.5,2018-19,LoyolaMaryland
Jaylin Andrews,9,0.2,0.25,0.75,0.032,0,0,2018-19,LoyolaMaryland
Chuck Champion,8,0.06,0.047,0.4,0.025,0.039,0.667,2018-19,LoyolaMaryland
Isaiah Hart,6,0.02,0.04,1,0.027999999999999997,0,0,2018-19,LoyolaMaryland
Brandon Bradsher,1,0.5,0.5,1,NA,NA,NA,2018-19,LoyolaMaryland
Sam Norton,1,0.043,0.111,1,0,0,NA,2018-19,LoyolaMaryland
Kenneth Jones,1,0,0,NA,0,0,NA,2018-19,LoyolaMaryland
Total,80,0.08900000000000001,0.10300000000000001,0.6920000000000001,0.025,0.025,0.41700000000000004,2018-19,LoyolaMaryland
