name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Taevion Kinsey,25,0.162,0.174,0.8,0,0,NA,2018-19,Marshall
Darius George,13,0.22,0.23800000000000002,0.769,0,0,NA,2018-19,Marshall
Rondale Watson,12,0.106,0.109,0.545,0,0,NA,2018-19,Marshall
Jannson Williams,12,0.149,0.152,0.7,0.133,0,0,2018-19,Marshall
C.J. Burks,8,0.04,0.047,0.7140000000000001,0.006999999999999999,0.013999999999999999,1,2018-19,Marshall
Iran Bennett,7,0.179,0.174,0.5710000000000001,0,0,NA,2018-19,Marshall
Mikel Beyers,5,0.114,0.125,0.75,0.111,0.2,1,2018-19,Marshall
Jon Elmore,3,0.013999999999999999,0.026000000000000002,1,0.008,0.025,1,2018-19,Marshall
Jarrod West,2,0.025,0,0,0.037000000000000005,0.16699999999999998,1,2018-19,Marshall
Total,87,0.09699999999999999,0.11199999999999999,0.7120000000000001,0.013000000000000001,0.024,0.667,2018-19,Marshall
