name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Quinndary Weatherspoon,405.99999999999994,0.625,0.578,0.433,0.608,0.364,0.23399999999999999,0.474,0.111,0.33299999999999996,0.40700000000000003,0.6,0.433,0.812,2018-19,MississippiSt.
Lamar Peters,328,0.54,0.526,0.22,0.5,0.027999999999999997,0.128,0.28600000000000003,0,0.652,0.38799999999999996,0.578,0.21600000000000003,0.648,2018-19,MississippiSt.
Tyson Carter,282,0.5770000000000001,0.56,0.209,0.7120000000000001,0.595,0.22699999999999998,0.406,0.115,0.564,0.377,0.8,0.131,0.8109999999999999,2018-19,MississippiSt.
Aric Holman,236,0.5700000000000001,0.547,0.28,0.7120000000000001,0.574,0.297,0.314,0.409,0.424,0.4,0.95,0.275,0.708,2018-19,MississippiSt.
Reggie Perry,225,0.5660000000000001,0.52,0.431,0.619,0.667,0.4,0.467,0.452,0.16899999999999998,0.263,1,0.498,0.723,2018-19,MississippiSt.
Nick Weatherspoon,187,0.552,0.529,0.23,0.6509999999999999,0.5710000000000001,0.49200000000000005,0.446,0.293,0.278,0.385,0.85,0.251,0.7020000000000001,2018-19,MississippiSt.
"II,ROBERT",128,0.552,0.535,0.414,0.698,0.595,0.289,0.405,0.467,0.297,0.289,1,0.266,0.647,2018-19,MississippiSt.
Abdul Ado,81,0.628,0.617,0.38299999999999995,0.8059999999999999,0.76,0.617,0.5,0.36,0,NA,NA,0.852,0.623,2018-19,MississippiSt.
Robert Woodard,25,0.44,0.42,0.48,0.667,0.25,0.32,0.125,0,0.2,0.2,1,0.48,0.5,2018-19,MississippiSt.
KeyShawn Feazell,10,0.594,0.55,0.4,0.5,0.5,0.4,0.5,0.5,0.2,0.5,1,0.2,1,2018-19,MississippiSt.
TJ Gray,6,0.41700000000000004,0.41700000000000004,0.33299999999999996,0.5,0,0.16699999999999998,0,NA,0.5,0.33299999999999996,0,0,NA,2018-19,MississippiSt.
E.J. Datcher,3,0.506,0.5,0,NA,NA,0.33299999999999996,0,NA,0.667,0.5,1,0.667,0.5,2018-19,MississippiSt.
Mitchell Storm,2,0,0,0,NA,NA,0.5,0,NA,0.5,0,NA,0,NA,2018-19,MississippiSt.
Tate Clayton,1,1,1,1,1,0,0,NA,NA,0,NA,NA,0,NA,2018-19,MississippiSt.
Total,1920,0.5750000000000001,0.547,0.321,0.64,0.48700000000000004,0.289,0.41600000000000004,0.281,0.39,0.37799999999999995,0.735,0.327,0.722,2018-19,MississippiSt.
