name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Deion Hammond,354,0.512,0.486,0.16399999999999998,0.552,0.375,0.22899999999999998,0.358,0.379,0.607,0.344,0.892,0.218,0.727,2018-19,Monmouth
Ray Salnave,327,0.515,0.456,0.37,0.529,0.109,0.327,0.374,0.05,0.303,0.303,0.733,0.42200000000000004,0.768,2018-19,Monmouth
Diago Quinn,227.99999999999997,0.546,0.48700000000000004,0.645,0.5710000000000001,0.488,0.355,0.33299999999999996,0.519,0,NA,NA,0.645,0.701,2018-19,Monmouth
Mustapha Traore,206.99999999999997,0.529,0.507,0.469,0.608,0.5760000000000001,0.531,0.418,0.565,0,NA,NA,0.377,0.615,2018-19,Monmouth
Louie Pillari,172,0.462,0.40399999999999997,0.256,0.47700000000000004,0.095,0.29100000000000004,0.52,0.231,0.45299999999999996,0.192,0.733,0.308,0.8109999999999999,2018-19,Monmouth
Nick Rutherford,164,0.47400000000000003,0.405,0.585,0.479,0.239,0.183,0.233,0.14300000000000002,0.23199999999999998,0.237,0.444,0.415,0.779,2018-19,Monmouth
Marcus McClary,120,0.529,0.508,0.633,0.48700000000000004,0.43200000000000005,0.242,0.414,0.16699999999999998,0.125,0.5329999999999999,1,0.433,0.596,2018-19,Monmouth
Melik Martin,84,0.5700000000000001,0.56,0.5,0.5479999999999999,0.478,0.20199999999999999,0.529,0.33299999999999996,0.298,0.4,0.8,0.33299999999999996,0.607,2018-19,Monmouth
George Papas,83,0.41800000000000004,0.392,0.096,0.75,0.833,0.10800000000000001,0.444,0.25,0.795,0.22699999999999998,0.9329999999999999,0.22899999999999998,0.632,2018-19,Monmouth
Samuel Chaput,73,0.43700000000000006,0.363,0.589,0.419,0.055999999999999994,0.233,0.235,0.25,0.17800000000000002,0.231,1,0.603,0.659,2018-19,Monmouth
Sam Ibiezugbe,46,0.41200000000000003,0.37,0.304,0.429,0.667,0.696,0.344,0.727,0,NA,NA,0.391,0.611,2018-19,Monmouth
Nikkei Rutty,32,0.42300000000000004,0.406,0.812,0.423,0.909,0.188,0.33299999999999996,1,0,NA,NA,1.469,0.426,2018-19,Monmouth
Gross Trevon,13,0.28700000000000003,0.308,0.154,0,NA,0.308,0.25,0,0.5379999999999999,0.28600000000000003,1,0.154,0,2018-19,Monmouth
Calloway Dave,8,0.391,0.375,0,NA,NA,0,NA,NA,1,0.25,1,0.25,0.5,2018-19,Monmouth
James Michael,5,0.2,0.2,0.2,0,NA,0.4,0.5,1,0.4,0,NA,0,NA,2018-19,Monmouth
Total,1916,0.501,0.45799999999999996,0.40399999999999997,0.525,0.37799999999999995,0.3,0.381,0.35600000000000004,0.295,0.297,0.833,0.40299999999999997,0.6859999999999999,2018-19,Monmouth
