name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Diago Quinn,35,0.21100000000000002,0.214,0.581,0.049,0,0,2018-19,Monmouth
Mustapha Traore,24,0.18600000000000003,0.18600000000000003,0.611,0.055,0.022000000000000002,0.16699999999999998,2018-19,Monmouth
Marcus McClary,8,0.079,0.081,0.5,0.034,0,0,2018-19,Monmouth
Ray Salnave,8,0.025,0.047,1,0.019,0.025,0.5,2018-19,Monmouth
Nikkei Rutty,5,0.192,0,0,0,0,NA,2018-19,Monmouth
Melik Martin,5,0.095,0.13,0.75,0.059000000000000004,0.111,1,2018-19,Monmouth
Sam Ibiezugbe,4,0.214,0.16699999999999998,0.33299999999999996,0.031,0,0,2018-19,Monmouth
Louie Pillari,3,0.045,0.048,0.5,0.02,0,0,2018-19,Monmouth
Deion Hammond,2,0.034,0.031,0.5,0,0,NA,2018-19,Monmouth
Nick Rutherford,2,0.01,0.022000000000000002,1,0,0,NA,2018-19,Monmouth
Calloway Dave,1,NA,NA,NA,NA,NA,NA,2018-19,Monmouth
George Papas,1,0,0,NA,0,0,NA,2018-19,Monmouth
Gross Trevon,1,0.5,NA,0,0,0,NA,2018-19,Monmouth
Total,99,0.098,0.10300000000000001,0.5529999999999999,0.027999999999999997,0.013999999999999999,0.188,2018-19,Monmouth
