name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
James Palmer,578,0.49699999999999994,0.426,0.39399999999999996,0.5529999999999999,0.278,0.235,0.147,0.25,0.37,0.313,0.642,0.488,0.762,2018-19
Watson Glynn,430,0.532,0.509,0.21899999999999997,0.521,0.245,0.284,0.385,0.149,0.498,0.38299999999999995,0.573,0.156,0.7909999999999999,2018-19
Isaiah Roby,326,0.532,0.49700000000000005,0.488,0.597,0.474,0.252,0.305,0.44,0.258,0.33299999999999996,0.857,0.408,0.677,2018-19
Thomas Allen,220.00000000000003,0.541,0.518,0.264,0.569,0.273,0.28600000000000003,0.429,0.222,0.45,0.364,0.778,0.132,0.862,2018-19
Isaac Copeland,200,0.606,0.588,0.265,0.736,0.615,0.38,0.539,0.512,0.355,0.35200000000000004,0.96,0.325,0.6920000000000001,2018-19
Nana Akenten,121,0.465,0.46299999999999997,0.207,0.56,0.429,0.14,0.353,0.5,0.653,0.304,0.958,0.14,0.47100000000000003,2018-19
Tanner Borchardt,79,0.607,0.608,0.924,0.644,0.574,0.076,0.16699999999999998,0,0,NA,NA,0.506,0.575,2018-19
Thorir Thorbjarnarson,56.00000000000001,0.4050000000000001,0.375,0.536,0.5,0.5329999999999999,0.054000000000000006,0,NA,0.41100000000000003,0.174,1,0.214,0.667,2018-19
Brady Heiman,42,0.549,0.595,0.595,0.76,0.8420000000000001,0.381,0.375,0.833,0.024,0,NA,0.405,0.294,2018-19
Amir Harris,40,0.536,0.575,0.8,0.7190000000000001,0.478,0.2,0,NA,0,NA,NA,0.35,0.28600000000000003,2018-19
Johnny Trueblood,34,0.45999999999999996,0.47100000000000003,0.706,0.542,0.6920000000000001,0.059000000000000004,0,NA,0.235,0.25,1,0.382,0.385,2018-19
Justin Costello,7.000000000000001,0.48000000000000004,0.429,0,NA,NA,0,NA,NA,1,0.28600000000000003,0.5,0.7140000000000001,0.6,2018-19
Total,2133,0.525,0.493,0.376,0.591,0.42700000000000005,0.249,0.326,0.335,0.375,0.33799999999999997,0.726,0.325,0.6970000000000001,2018-19
