name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Scott Plaisance,27,0.195,0.212,0.636,0.052000000000000005,0.043,0.4,2018-19,NewOrleans
Gerrale Gates,22,0.158,0.12300000000000001,0.429,0.013000000000000001,0.04,1,2018-19,NewOrleans
Damion Rosser,19,0.134,0.149,0.688,0.043,0.087,0.667,2018-19,NewOrleans
Amari Haynes,19,0.276,0.27,0.625,0.081,0.091,0.33299999999999996,2018-19,NewOrleans
Jahmel Myers,15,0.23399999999999999,0.256,0.667,0,0,NA,2018-19,NewOrleans
Ezekiel Charles,10,0.15,0.2,0.889,0,0,NA,2018-19,NewOrleans
Bryson Robinson,5,0.07200000000000001,0.047,0.4,0,0,NA,2018-19,NewOrleans
Tyren Harrison,4,0.28600000000000003,0.444,1,0,0,NA,2018-19,NewOrleans
Jorge Rosa,2,0.111,0.5,1,0,0,NA,2018-19,NewOrleans
Troy Green,2,0.02,0.019,0.5,0,0,NA,2018-19,NewOrleans
Bol Riek,2,0.5,NA,0,0.125,0.25,1,2018-19,NewOrleans
Lamont Berzat,1,0,0,NA,0.25,NA,0,2018-19,NewOrleans
Larry Robinson III,1,0,0,NA,0.059000000000000004,0,0,2018-19,NewOrleans
Charles Bohannon,1,0,0,NA,1,NA,0,2018-19,NewOrleans
Total,130,0.14300000000000002,0.154,0.628,0.027000000000000003,0.033,0.43799999999999994,2018-19,NewOrleans
