name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Teyvion Kirk,27,0.10099999999999999,0.113,0.619,0.038,0,0,2018-19,Ohio
Doug Taylor,25,0.17600000000000002,0.111,0.455,0.075,0.071,0.33299999999999996,2018-19,Ohio
Jason Carter,18,0.075,0.098,0.765,0.012,0,0,2018-19,Ohio
Ben Vander Plas,10,0.209,0.25,0.889,0,0,NA,2018-19,Ohio
Jason Preston,6,0.083,0.121,0.8,0.017,0,0,2018-19,Ohio
Cowart Antonio,4,0.09300000000000001,0.08,0.5,0,0,NA,2018-19,Ohio
Connor Murrell,4,0.1,0.133,0.667,0,0,NA,2018-19,Ohio
Jarrell Reeves,3,0.6,0.5,0.667,NA,NA,NA,2018-19,Ohio
"PLAS,BEN_VANDER",2,0,0,NA,0.5,1,0.5,2018-19,Ohio
Torey James,2,0.667,0,0,0,0,NA,2018-19,Ohio
VANDER,1,0.14300000000000002,0.16699999999999998,1,NA,NA,NA,2018-19,Ohio
Mason McMurray,1,0.25,0.33299999999999996,1,0,0,NA,2018-19,Ohio
Gavin Block,1,0,0,NA,0,0,NA,2018-19,Ohio
Total,104,0.111,0.11800000000000001,0.636,0.031,0.013999999999999999,0.154,2018-19,Ohio
