name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Rashard Odomes,21,0.14300000000000002,0.15,0.667,0.081,0.125,0.33299999999999996,2018-19,Oklahoma
Kristian Doolittle,20,0.11900000000000001,0.091,0.462,0.034,0,0,2018-19,Oklahoma
Brady Manek,19,0.13699999999999998,0.12300000000000001,0.5710000000000001,0.083,0.107,0.6,2018-19,Oklahoma
Christian James,16,0.10400000000000001,0.12300000000000001,0.667,0.040999999999999995,0.061,0.5,2018-19,Oklahoma
Jamuni McNeace,8,0.092,0.086,0.5,0.040999999999999995,0.048,0.5,2018-19,Oklahoma
Miles Reynolds,6,0.07200000000000001,0,0,0,0,NA,2018-19,Oklahoma
Jamal Bieniemy,5,0.040999999999999995,0.053,0.5,0,0,NA,2018-19,Oklahoma
Matt Freeman,3,0.2,0.2,0.5,0.059000000000000004,0,0,2018-19,Oklahoma
Hannes Polla,2,0.28600000000000003,0.2,0.5,0,0,NA,2018-19,Oklahoma
Kur Kuath,1,0.5,0,0,0,0,NA,2018-19,Oklahoma
Total,104,0.10400000000000001,0.09300000000000001,0.526,0.036000000000000004,0.031,0.33299999999999996,2018-19,Oklahoma
