name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Breein Tyree,429,0.588,0.54,0.221,0.726,0.159,0.35,0.39299999999999996,0.16899999999999998,0.429,0.375,0.841,0.359,0.831,2018-19,OleMiss
Terence Davis,403,0.555,0.525,0.285,0.635,0.41100000000000003,0.28,0.363,0.293,0.434,0.371,0.754,0.251,0.772,2018-19,OleMiss
Devontae Shuler,260,0.587,0.556,0.265,0.667,0.37,0.24600000000000002,0.344,0.045,0.488,0.402,0.647,0.23800000000000002,0.823,2018-19,OleMiss
Blake Hinson,217,0.541,0.512,0.134,0.552,0.75,0.258,0.46399999999999997,0.34600000000000003,0.608,0.348,0.935,0.263,0.737,2018-19,OleMiss
Bruce Stevens,212,0.6,0.568,0.354,0.76,0.737,0.255,0.426,0.609,0.392,0.325,0.963,0.212,0.867,2018-19,OleMiss
KJ Buffen,144,0.538,0.486,0.507,0.603,0.47700000000000004,0.382,0.364,0.3,0.111,0.25,0.75,0.583,0.69,2018-19,OleMiss
Dominik Olejniczak,127,0.603,0.575,0.409,0.7879999999999999,0.732,0.591,0.42700000000000005,0.812,0,NA,NA,0.299,0.763,2018-19,OleMiss
D.C. Davis,56.00000000000001,0.527,0.473,0.33899999999999997,0.684,0.462,0.179,0.3,0.33299999999999996,0.48200000000000004,0.259,1,0.46399999999999997,0.731,2018-19,OleMiss
Brian Halums,22,0.379,0.295,0.409,0.556,0.6,0.318,0,NA,0.273,0.16699999999999998,1,0.545,0.667,2018-19,OleMiss
Luis Rodriguez,22,0.523,0.455,0.5,0.727,0.125,0.409,0.222,0,0.091,0,NA,0.364,0.875,2018-19,OleMiss
Zach Naylor,12,0.541,0.5,0.33299999999999996,0.75,0.667,0.083,0,NA,0.583,0.28600000000000003,1,0.16699999999999998,1,2018-19,OleMiss
Antonio Morgano,2,0.5,0.5,0,NA,NA,0.5,1,0,0.5,0,NA,0,NA,2018-19,OleMiss
"BROOME,C",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-19,OleMiss
"HALIBURTON,TYRESE",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-19,OleMiss
Total,1905.9999999999998,0.5680000000000001,0.531,0.289,0.6809999999999999,0.467,0.312,0.385,0.345,0.39899999999999997,0.358,0.816,0.309,0.7829999999999999,2018-19,OleMiss
