name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
David McFarland,350,0.523,0.479,0.354,0.597,0.365,0.166,0.293,0.11800000000000001,0.48,0.304,0.608,0.317,0.775,2018-19,SIUE
Brandon Jackson,336,0.552,0.534,0.527,0.655,0.44,0.35700000000000004,0.392,0.489,0.11599999999999999,0.282,1,0.327,0.636,2018-19,SIUE
Tyresse Williford,310,0.49899999999999994,0.415,0.465,0.465,0.134,0.18100000000000002,0.321,0,0.355,0.264,0.44799999999999995,0.565,0.7709999999999999,2018-19,SIUE
Cameron Williams,271,0.518,0.496,0.31,0.583,0.34700000000000003,0.221,0.4,0.583,0.469,0.32299999999999995,0.951,0.244,0.667,2018-19,SIUE
Daniel Kinchen,177,0.524,0.47700000000000004,0.237,0.5,0.429,0.147,0.308,0.25,0.616,0.33899999999999997,0.703,0.23199999999999998,0.902,2018-19,SIUE
Jaylen McCoy,138,0.42300000000000004,0.391,0.159,0.364,0.25,0.239,0.212,0.28600000000000003,0.601,0.313,0.731,0.203,0.7140000000000001,2018-19,SIUE
Christian Ellis,106,0.43700000000000006,0.425,0.632,0.478,0.031,0.20800000000000002,0.318,0.14300000000000002,0.16,0.235,0.75,0.509,0.46299999999999997,2018-19,SIUE
Anselm Uzuegbunem,94,0.48400000000000004,0.436,0.415,0.59,0.565,0.5529999999999999,0.34600000000000003,0.667,0.032,0,NA,0.39399999999999996,0.703,2018-19,SIUE
Treavon Martin,65,0.549,0.5379999999999999,0.354,0.7390000000000001,0.8240000000000001,0.6459999999999999,0.429,0.9440000000000001,0,NA,NA,0.4,0.5770000000000001,2018-19,SIUE
D.J. Jackson,23,0.523,0.5,0.609,0.643,0.33299999999999996,0.304,0.14300000000000002,1,0.087,0.5,1,0.696,0.562,2018-19,SIUE
Elochukwu Eze,16,0.554,0.5,0.688,0.545,0.5,0.312,0.4,1,0,NA,NA,0.625,0.7,2018-19,SIUE
Bill Awet,10,0.5690000000000001,0.55,0.4,1,0.75,0.1,0,NA,0.5,0.2,1,0.3,0.667,2018-19,SIUE
D'Quan Applewhite,2,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,NA,2018-19,SIUE
Total,1898,0.51,0.47100000000000003,0.396,0.5670000000000001,0.35700000000000004,0.254,0.34600000000000003,0.455,0.35,0.302,0.716,0.35700000000000004,0.703,2018-19,SIUE
