name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Jalen McDaniels,22,0.165,0.2,0.812,0.021,0,0,2018-19,SanDiegoSt.
Nathan Mensah,14,0.127,0.081,0.429,0.09,0.057,0.28600000000000003,2018-19,SanDiegoSt.
Nolan Narain,10,0.278,0.32,0.8,0,0,NA,2018-19,SanDiegoSt.
Aguek Arop,7,0.135,0.08,0.4,0.065,0.111,0.5,2018-19,SanDiegoSt.
Jeremy Hemsley,7,0.038,0.023,0.33299999999999996,0.038,0.032,0.33299999999999996,2018-19,SanDiegoSt.
Matt Mitchell,3,0.045,0.068,1,0,0,NA,2018-19,SanDiegoSt.
Devin Watson,2,0,0,NA,0.008,0,0,2018-19,SanDiegoSt.
Jordan Schakel,2,0.05,0.071,1,0.067,0,0,2018-19,SanDiegoSt.
Joel Mensah,1,0,0,NA,0.048,0,0,2018-19,SanDiegoSt.
Total,68,0.096,0.10400000000000001,0.6890000000000001,0.027999999999999997,0.013999999999999999,0.19,2018-19,SanDiegoSt.
