name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Jeremy Combs,61,0.183,0.185,0.691,0.062,0.094,0.6,2018-19,TexasSouthern
Justin Hopkins,23,0.17300000000000001,0.18600000000000003,0.611,0.128,0,0,2018-19,TexasSouthern
Eden Ewing,18,0.128,0.098,0.47100000000000003,0.018000000000000002,0.05,1,2018-19,TexasSouthern
Devocio Butler,13,0.07400000000000001,0.053,0.375,0.07,0,0,2018-19,TexasSouthern
Trayvon Reed,10,0.071,0.07,0.778,0.028999999999999998,0,0,2018-19,TexasSouthern
John Jones,5,0.059000000000000004,0.091,1,0.033,0.087,1,2018-19,TexasSouthern
Tyrik Armstrong,3,0.025,0,0,0,0,NA,2018-19,TexasSouthern
Jalyn Patterson,3,0.027999999999999997,0.024,0.5,0.015,0,0,2018-19,TexasSouthern
Michael Dobbins,2,0.222,0.4,1,0,NA,NA,2018-19,TexasSouthern
Derrick Bruce,1,0.03,0.042,1,0,0,NA,2018-19,TexasSouthern
Cainan McClelland,1,0,0,NA,0,0,NA,2018-19,TexasSouthern
Divonte Lumpkin,1,0,0,NA,0.16699999999999998,0.33299999999999996,1,2018-19,TexasSouthern
Total,141,0.113,0.11199999999999999,0.626,0.037000000000000005,0.042,0.368,2018-19,TexasSouthern
