name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Augustine Ene,16,0.13,0.127,0.5710000000000001,0,0,NA,2018-19
Christian Peevy,12,0.078,0.09699999999999999,0.75,0,0,NA,2018-19
Antoine Smith,9,0.149,0.161,0.7140000000000001,0.054000000000000006,0,0,2018-19
Charles Brown,6,0.034,0.048,1,0.039,0.036000000000000004,0.5,2018-19
Romello Wilbert,5,0.192,0.25,0.6,0,0,NA,2018-19
Jordan Caruso,4,0.04,0.033,0.5,0.036000000000000004,0.091,1,2018-19
Morgan Taylor,2,0.022000000000000002,0.045,1,0,0,NA,2018-19
Jorden Kite,2,0.5,NA,0,1,NA,0,2018-19
Bryce Davis,1,0.045,0,0,0,0,NA,2018-19
Dwight Murray,1,0.025,0.042,1,0,0,NA,2018-19
Total,58,0.07400000000000001,0.084,0.667,0.018000000000000002,0.013999999999999999,0.33299999999999996,2018-19
