name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Ryan Andino,320,0.459,0.43799999999999994,0.044000000000000004,0.643,0.444,0.10300000000000001,0.242,0.5,0.853,0.3,0.866,0.09699999999999999,0.871,2018-19
Tyler Jones,216,0.468,0.447,0.366,0.5820000000000001,0.522,0.319,0.319,0.455,0.315,0.27899999999999997,1,0.153,0.727,2018-19
Bryan Urrutia,215,0.463,0.419,0.484,0.529,0.109,0.27,0.24100000000000002,0.071,0.247,0.264,0.429,0.414,0.652,2018-19
Ahmad Frost,170,0.44400000000000006,0.43799999999999994,0.20600000000000002,0.5429999999999999,0.21100000000000002,0.259,0.273,0.33299999999999996,0.535,0.319,0.897,0.141,0.5,2018-19
AJ Cheeseman,157,0.44800000000000006,0.414,0.47100000000000003,0.622,0.5,0.446,0.22899999999999998,0.75,0.083,0.154,1,0.439,0.58,2018-19
Canaan Bartley,150,0.40800000000000003,0.35,0.447,0.478,0.21899999999999997,0.48,0.264,0.053,0.073,0.091,1,0.34,0.725,2018-19
Isaac Taylor,112.00000000000001,0.593,0.58,0.688,0.636,0.6940000000000001,0.295,0.485,0.625,0.018000000000000002,0,NA,0.446,0.62,2018-19
Gabriel Gyamfi,107,0.641,0.612,0.804,0.64,0.636,0.121,0.462,0.833,0.075,0.375,1,0.551,0.7120000000000001,2018-19
Dontae Caldwell,79,0.371,0.335,0.29100000000000004,0.478,0.727,0.253,0.1,0.5,0.456,0.25,0.889,0.228,0.667,2018-19
Montraz Oliver,70,0.466,0.39299999999999996,0.386,0.556,0.4,0.243,0.294,0.4,0.371,0.192,0.8,0.44299999999999995,0.774,2018-19
Colen Gaynor,52,0.504,0.47100000000000003,0.5,0.654,0.294,0.308,0.375,0.33299999999999996,0.192,0.1,1,0.423,0.636,2018-19
Derrick Green,1,0,0,0,NA,NA,1,0,NA,0,NA,NA,1,0,2018-19
"ANDERSON,KEVIN",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-19
Total,1648.9999999999998,0.4730000000000001,0.441,0.371,0.578,0.441,0.27,0.28300000000000003,0.413,0.358,0.27899999999999997,0.855,0.29,0.672,2018-19
