name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Christian Lutete,399,0.641,0.622,0.469,0.6629999999999999,0.452,0.08800000000000001,0.5429999999999999,0.474,0.444,0.395,0.9,0.35600000000000004,0.718,2018-19,UMassLowell
Obadiah Noel,309,0.597,0.5579999999999999,0.47200000000000003,0.6579999999999999,0.42700000000000005,0.275,0.45899999999999996,0.154,0.252,0.321,0.8,0.485,0.727,2018-19,UMassLowell
Josh Gantz,250.99999999999997,0.611,0.586,0.36700000000000005,0.6409999999999999,0.763,0.147,0.514,0.8420000000000001,0.486,0.377,0.978,0.22699999999999998,0.807,2018-19,UMassLowell
Alex Rivera,231,0.544,0.526,0.14300000000000002,0.636,0.28600000000000003,0.14300000000000002,0.545,0,0.7140000000000001,0.33299999999999996,0.7090000000000001,0.21600000000000003,0.68,2018-19,UMassLowell
Ryan Jones,166,0.524,0.49700000000000005,0.253,0.619,0.192,0.235,0.41,0.062,0.512,0.318,0.519,0.24100000000000002,0.725,2018-19,UMassLowell
Darius Henderson,129,0.5680000000000001,0.5429999999999999,0.442,0.649,0.757,0.318,0.439,0.667,0.24,0.32299999999999995,1,0.17800000000000002,0.826,2018-19,UMassLowell
Bryce Daley,114.99999999999999,0.369,0.29100000000000004,0.348,0.475,0.105,0.4,0.217,0.1,0.252,0.10300000000000001,1,0.4,0.7390000000000001,2018-19,UMassLowell
Allin Blunt,92,0.494,0.457,0.28300000000000003,0.5770000000000001,0.6,0.489,0.4,0.778,0.228,0.28600000000000003,0.833,0.5329999999999999,0.612,2018-19,UMassLowell
Joey Glynn,81,0.585,0.531,0.605,0.612,0.5670000000000001,0.358,0.44799999999999995,0.846,0.037000000000000005,0,NA,0.494,0.775,2018-19,UMassLowell
Shawn Jones,70,0.52,0.47100000000000003,0.5,0.429,0.067,0.35700000000000004,0.48,0.083,0.14300000000000002,0.4,0.25,0.557,0.667,2018-19,UMassLowell
Connor Bennett,9,0.48000000000000004,0.556,0.778,0.5710000000000001,1,0.222,0.5,1,0,NA,NA,0.33299999999999996,0,2018-19,UMassLowell
Total,1852,0.5700000000000001,0.539,0.386,0.625,0.48,0.225,0.439,0.39299999999999996,0.389,0.341,0.813,0.345,0.72,2018-19,UMassLowell
