name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Quintin Dove,42,0.231,0.24100000000000002,0.765,0.086,0.071,0.375,2018-19,UTMartin
Jailen Gill,20,0.19399999999999998,0.217,0.833,0.033,0,0,2018-19,UTMartin
Fatodd Lewis,18,0.28600000000000003,0.302,0.812,0.038,0.125,1,2018-19,UTMartin
Derek Hawthorne,17,0.171,0.256,0.846,0.04,0,0,2018-19,UTMartin
Minfeke Sanoe,7,0.259,0.312,0.7140000000000001,0,0,NA,2018-19,UTMartin
Delfincko Bogan,6,0.048,0.027000000000000003,0.33299999999999996,0.015,0.032,1,2018-19,UTMartin
Parrish Hewitt,5,0.16,0.125,0.5,0.062,0.25,1,2018-19,UTMartin
Preston Parks,3,0.025,0.067,1,0.012,0,0,2018-19,UTMartin
Kevin Little,2,0,0,NA,0,0,NA,2018-19,UTMartin
Jeremy Joyner,1,0.062,0.083,1,NA,NA,NA,2018-19,UTMartin
Craig Randall II,1,0.024,0.033,1,0,0,NA,2018-19,UTMartin
Total,122,0.14800000000000002,0.183,0.778,0.035,0.038,0.389,2018-19,UTMartin
