name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Michael Flowers,390,0.532,0.47100000000000003,0.20800000000000002,0.43200000000000005,0.057,0.29,0.451,0.02,0.503,0.332,0.385,0.43799999999999994,0.784,2018-19
Seth Dugan,372,0.585,0.565,0.688,0.688,0.568,0.272,0.307,0.387,0.04,0.133,0.5,0.46,0.643,2018-19
Josh Davis,283,0.52,0.493,0.35,0.626,0.387,0.307,0.391,0.324,0.34299999999999997,0.299,0.828,0.322,0.659,2018-19
Kawanise Wilkins,199,0.5,0.45,0.508,0.545,0.436,0.196,0.385,0.33299999999999996,0.29600000000000004,0.22,0.9229999999999999,0.382,0.737,2018-19
Jared Printy,155,0.514,0.5,0.071,0.636,0.429,0.168,0.462,0.5,0.7609999999999999,0.331,0.7440000000000001,0.129,0.7,2018-19
Patrick Emilien,138,0.466,0.442,0.297,0.46299999999999997,0.316,0.057999999999999996,0.375,0,0.645,0.292,0.9620000000000001,0.384,0.5660000000000001,2018-19
William Boyer-Richard,108,0.648,0.625,0.17600000000000002,0.263,0.2,0.13,0.5,0.28600000000000003,0.6940000000000001,0.493,0.919,0.287,0.774,2018-19
Adrian Martin,86,0.266,0.23800000000000002,0.221,0.263,0,0.244,0.095,0,0.535,0.196,0.889,0.105,0.778,2018-19
DJ Houston,40,0.395,0.375,0.475,0.42100000000000004,0.125,0.325,0.308,0.25,0.2,0.25,0.5,0.625,0.44,2018-19
TJ Clifford,21,0.5680000000000001,0.5710000000000001,0.5710000000000001,0.667,0.5,0.19,0.25,0,0.23800000000000002,0.4,1,0.19,0.5,2018-19
Adida Ikongshul,19,0.47200000000000003,0.395,0.316,0.833,0.4,0.42100000000000004,0.125,1,0.263,0.2,1,0.9470000000000001,0.611,2018-19
Luke Toliver,11,0.616,0.409,0.091,0,NA,0,NA,NA,0.909,0.3,0.667,1,1,2018-19
Total,1822,0.524,0.48700000000000004,0.365,0.579,0.434,0.23800000000000002,0.371,0.242,0.397,0.315,0.7190000000000001,0.373,0.691,2018-19
