name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Romello White,28,0.16899999999999998,0.18,0.667,0.027000000000000003,0,0,2019-20
Jalen Graham,11,0.233,0.25,0.8,0.055999999999999994,0.1,1,2019-20
Taeshon  Cherry,9,0.162,0.095,0.33299999999999996,0.158,0.28600000000000003,0.667,2019-20
Kimani Lawrence,8,0.14300000000000002,0.24100000000000002,1,0.043,0,0,2019-20
Mickey Mitchell,6,0.16699999999999998,0.14300000000000002,0.4,0.2,0,0,2019-20
Rob Edwards,5,0.055,0.045,0.33299999999999996,0,0,NA,2019-20
Jaelen House,4,0.044000000000000004,0.059000000000000004,0.5,0.111,0,0,2019-20
Remy Martin,4,0.012,0.01,0.5,0.008,0,0,2019-20
Alonzo Verge Jr. ,4,0.013000000000000001,0.012,0.5,0.015,0.02,0.5,2019-20
Khalid Thomas,2,0.25,0.16699999999999998,0.5,0,0,NA,2019-20
Total,81,0.087,0.098,0.636,0.027000000000000003,0.025,0.33299999999999996,2019-20
