name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Adrio Bailey,13,0.141,0.111,0.545,0.05,0,0,2019-20
Whitt Jimmy,13,0.084,0.059000000000000004,0.444,0.015,0.027000000000000003,0.75,2019-20
Reggie Chaney,10,0.131,0.152,0.875,0.16699999999999998,0.33299999999999996,0.5,2019-20
Desi Sills,8,0.040999999999999995,0.048,0.75,0.11800000000000001,0,0,2019-20
Mason Jones,5,0.024,0.031,1,0.02,0,0,2019-20
Ethan Henderson,4,0.15,0.083,0.33299999999999996,1,NA,0,2019-20
Isaiah Joe,3,0.091,0.067,0.5,0.016,0,0,2019-20
Jalen Harris,2,0.08,0.125,1,0,0,NA,2019-20
Jeantal Cylla,1,0.091,0,0,0,NA,NA,2019-20
Total,59,0.078,0.071,0.628,0.028999999999999998,0.022000000000000002,0.25,2019-20
