name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Tahjai Teague,29,0.12,0.113,0.615,0.017,0,0,2019-20,BallSt.
K.J. Walton,9,0.195,0.125,0.375,0.05,0,0,2019-20,BallSt.
Kani Acree,8,0.147,0.14300000000000002,0.6,0.28600000000000003,0.25,0.5,2019-20,BallSt.
Jarron Coleman,7,0.062,0.046,0.429,0,0,NA,2019-20,BallSt.
Brachen Hazen,6,0.13,0.12,0.5,0,0,NA,2019-20,BallSt.
Kyle Mallers,5,0.091,0.095,0.667,0.045,0.1,1,2019-20,BallSt.
Ishmael El-Amin,4,0.025,0.043,1,0.013999999999999999,0.038,1,2019-20,BallSt.
Miryne Thomas,3,0.231,0.25,0.667,0,0,NA,2019-20,BallSt.
Josh Thompson,2,0.061,0.062,0.5,0,0,NA,2019-20,BallSt.
Luke Bumbalough,2,0.053,0,0,0,0,NA,2019-20,BallSt.
Ben Hendriks,1,0,0,NA,0.2,NA,0,2019-20,BallSt.
Total,76,0.099,0.09300000000000001,0.556,0.025,0.034,0.429,2019-20,BallSt.
