name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Terrell Gomez,472,0.602,0.556,0.163,0.506,0.205,0.303,0.39899999999999997,0.281,0.534,0.44,0.6759999999999999,0.244,0.948,2019-20,CSUN
Lamine Diane,367,0.538,0.501,0.406,0.738,0.46399999999999997,0.441,0.309,0.14,0.153,0.28600000000000003,0.812,0.485,0.6629999999999999,2019-20,CSUN
Elijah Harkless,266,0.532,0.489,0.38299999999999995,0.588,0.28300000000000003,0.429,0.377,0.256,0.188,0.36,0.889,0.447,0.6970000000000001,2019-20,CSUN
Darius Brown II,252,0.5670000000000001,0.5379999999999999,0.33299999999999996,0.655,0.4,0.325,0.37799999999999995,0.226,0.341,0.384,0.5760000000000001,0.24600000000000002,0.774,2019-20,CSUN
Lance Coleman II,194,0.515,0.505,0.067,0.462,0.5,0.325,0.508,0.375,0.608,0.33899999999999997,0.9,0.067,0.769,2019-20,CSUN
Brendan Harrick,127,0.485,0.461,0.17300000000000001,0.545,0.583,0.213,0.444,0.25,0.614,0.295,0.9129999999999999,0.165,0.762,2019-20,CSUN
Jared Pearre,83,0.543,0.578,0.7829999999999999,0.6459999999999999,0.81,0.217,0.33299999999999996,1,0,NA,NA,0.325,0.29600000000000004,2019-20,CSUN
Festus Ndumanya,66,0.647,0.621,0.6970000000000001,0.696,0.6559999999999999,0.303,0.45,0.222,0,NA,NA,0.33299999999999996,0.773,2019-20,CSUN
Michael Ou,51,0.5680000000000001,0.51,0.784,0.6,0.625,0.21600000000000003,0.182,0,0,NA,NA,0.5489999999999999,0.75,2019-20,CSUN
Ron Artest III,30,0.36,0.36700000000000005,0.667,0.5,0.9,0.33299999999999996,0.1,0,0,NA,NA,0.33299999999999996,0.3,2019-20,CSUN
Henderson Rodney,14.000000000000002,0.326,0.28600000000000003,0.14300000000000002,0.5,0,0,NA,NA,0.857,0.16699999999999998,1,0.429,0.5,2019-20,CSUN
Miles Brookins,3,0.253,0,0.667,0,NA,0.33299999999999996,0,NA,0,NA,NA,0.667,1,2019-20,CSUN
Total,1925,0.551,0.519,0.32299999999999995,0.629,0.478,0.33799999999999997,0.373,0.263,0.33899999999999997,0.373,0.7490000000000001,0.313,0.726,2019-20,CSUN
