name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Dallas  Morgan,384,0.514,0.49200000000000005,0.185,0.606,0.163,0.23399999999999999,0.42200000000000004,0.237,0.581,0.32299999999999995,0.583,0.172,0.742,2019-20
David DiLeo,339,0.608,0.569,0.142,0.688,0.455,0.239,0.42,0.20600000000000002,0.619,0.4,0.7859999999999999,0.26,0.875,2019-20
Rob Montgomery,332,0.481,0.44,0.40700000000000003,0.585,0.342,0.316,0.295,0.355,0.27699999999999997,0.261,0.875,0.298,0.737,2019-20
Kevin McKay,250.99999999999997,0.613,0.586,0.805,0.6729999999999999,0.301,0.092,0.348,0,0.10400000000000001,0.077,0.5,0.39,0.7240000000000001,2019-20
Broadway Travon,196,0.48800000000000004,0.449,0.48,0.489,0.261,0.128,0.24,0.33299999999999996,0.39299999999999996,0.312,0.833,0.40299999999999997,0.6579999999999999,2019-20
Deschon Winston,195,0.42900000000000005,0.39,0.379,0.33799999999999997,0.08,0.33799999999999997,0.409,0.111,0.282,0.29100000000000004,0.875,0.287,0.679,2019-20
Devontae Lane,194,0.541,0.46399999999999997,0.588,0.491,0.14300000000000002,0.237,0.348,0.062,0.175,0.353,0.667,0.531,0.8059999999999999,2019-20
Romelo  Burrell,62,0.533,0.435,0.629,0.48700000000000004,0.684,0.177,0.182,0.5,0.19399999999999998,0.33299999999999996,1,0.9520000000000001,0.7120000000000001,2019-20
Kevin  Hamlet,28.999999999999996,0.4730000000000001,0.431,0.483,0.5710000000000001,0.375,0.276,0.375,0.33299999999999996,0.24100000000000002,0.14300000000000002,1,0.655,0.579,2019-20
Corey  Redman,26,0.634,0.596,0.26899999999999996,0.7140000000000001,0.8,0,NA,NA,0.731,0.368,1,0.192,1,2019-20
PJ Mitchell,21,0.504,0.452,0.5710000000000001,0.5,0.33299999999999996,0.14300000000000002,0.667,0,0.28600000000000003,0.16699999999999998,1,0.381,0.75,2019-20
Michael Kemp,8,0.75,0.75,0.75,1,0.5,0,NA,NA,0.25,0,NA,0,NA,2019-20
Total,2037,0.531,0.491,0.401,0.5660000000000001,0.297,0.225,0.365,0.21,0.375,0.324,0.7490000000000001,0.33399999999999996,0.746,2019-20
