name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Aamir Simms,18,0.13,0.13,0.643,0.04,0.055999999999999994,0.5,2019-20,Clemson
Tevin Mack,10,0.105,0.147,1,0,0,NA,2019-20,Clemson
Khavon Moore,8,0.353,0.4,0.667,0.065,0.111,0.5,2019-20,Clemson
Trey Jemison,5,0.133,0.095,0.5,0,0,NA,2019-20,Clemson
Hunter Tyson,5,0.14300000000000002,0.125,0.6,0,0,NA,2019-20,Clemson
John Newman III,5,0.046,0.055,0.75,0.017,0.048,1,2019-20,Clemson
Alex Hemenway,1,NA,NA,NA,0,0,NA,2019-20,Clemson
O'Neil McBride,1,1,1,1,0,NA,NA,2019-20,Clemson
Curran Scott,1,0,0,NA,0,0,NA,2019-20,Clemson
Al-Amir Dawes,1,0,0,NA,0,0,NA,2019-20,Clemson
Paul Grinde,1,0,0,NA,0.5,1,1,2019-20,Clemson
Clyde Trapp,1,0.038,0,0,0,0,NA,2019-20,Clemson
Total,57,0.09,0.098,0.711,0.019,0.032,0.625,2019-20,Clemson
