name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Andrew Robinson,342,0.515,0.493,0.08199999999999999,0.607,0.17600000000000002,0.114,0.385,0.2,0.804,0.331,0.868,0.14300000000000002,0.7959999999999999,2019-20
Koby Thomas,319,0.516,0.489,0.583,0.629,0.504,0.251,0.3,0.25,0.166,0.18899999999999997,0.8,0.5489999999999999,0.589,2019-20
Dejuan Clayton,306,0.504,0.456,0.418,0.57,0.013999999999999999,0.18600000000000003,0.35100000000000003,0.05,0.395,0.256,0.387,0.408,0.7120000000000001,2019-20
Kamar McKnight,250,0.4730000000000001,0.43799999999999994,0.292,0.575,0.024,0.23600000000000002,0.35600000000000004,0.048,0.47200000000000003,0.263,0.5479999999999999,0.308,0.675,2019-20
Brendan Medley-Bacon,192,0.48800000000000004,0.45799999999999996,0.542,0.5579999999999999,0.397,0.43799999999999994,0.35700000000000004,0.6,0.021,0,NA,0.5,0.583,2019-20
Aaron Robinson,159,0.43100000000000005,0.428,0.094,0.667,0.3,0.044000000000000004,0.14300000000000002,0,0.862,0.27699999999999997,0.6579999999999999,0.063,0.5,2019-20
Ibn Williams,157,0.447,0.43,0.172,0.444,0,0.159,0.24,0.5,0.669,0.314,0.545,0.204,0.594,2019-20
Reggie James,54,0.618,0.63,0.444,0.792,0.368,0.13,0.429,0,0.426,0.348,0.875,0.48100000000000004,0.5379999999999999,2019-20
Giir Ring,42,0.313,0.27399999999999997,0.19,0.625,0.2,0.11900000000000001,0.4,0.5,0.69,0.10300000000000001,1,0.214,0.667,2019-20
Nigel Marshall,22,0.44600000000000006,0.455,0.5,0.636,0.14300000000000002,0.182,0,NA,0.318,0.28600000000000003,0,0.364,0.375,2019-20
Jordan Hardwick,21,0.377,0.33299999999999996,0.47600000000000003,0.7,0.28600000000000003,0.23800000000000002,0,NA,0.28600000000000003,0,NA,0.28600000000000003,0.667,2019-20
Total,1864,0.48900000000000005,0.461,0.32899999999999996,0.598,0.275,0.2,0.32799999999999996,0.27,0.47100000000000003,0.281,0.684,0.32899999999999996,0.636,2019-20
