name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Lucas N'Guessan,20,0.136,0.163,0.8240000000000001,0.081,0.05,0.33299999999999996,2019-20,ETSU
Jeromy Rodriguez,17,0.18100000000000002,0.226,0.9329999999999999,0.055999999999999994,0.14300000000000002,1,2019-20,ETSU
Vonnie Patterson,12,0.217,0.273,0.6,0.133,0,0,2019-20,ETSU
Bo Hodges,11,0.051,0.040999999999999995,0.556,0.023,0.08,1,2019-20,ETSU
Joe Hugley,8,0.15,0.154,0.667,0.091,0,0,2019-20,ETSU
Isaiah Tisdale,7,0.06,0.07,0.8,0.028999999999999998,0,0,2019-20,ETSU
Charlie Weber,7,0.6,0.625,0.833,0,0,NA,2019-20,ETSU
Tray Boyd III,5,0.044000000000000004,0.053,0.667,0.02,0,0,2019-20,ETSU
Daivien Williamson,3,0.01,0,0,0.019,0,0,2019-20,ETSU
Patrick Good,1,0.077,0,0,0,0,NA,2019-20,ETSU
Jordan Coffin,1,0.25,NA,0,0,0,NA,2019-20,ETSU
Octavion  Corley,1,0.077,0,0,0,0,NA,2019-20,ETSU
Total,93,0.099,0.107,0.72,0.035,0.032,0.33299999999999996,2019-20,ETSU
