name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Eric Jamison,375,0.539,0.512,0.44299999999999995,0.627,0.433,0.405,0.382,0.10300000000000001,0.152,0.35100000000000003,0.9,0.309,0.69,2019-20,Gardner-Webb
Jaheam Cornwall,322,0.597,0.581,0.196,0.524,0.091,0.196,0.349,0.136,0.609,0.449,0.784,0.21100000000000002,0.721,2019-20,Gardner-Webb
Jose Perez,299,0.45399999999999996,0.381,0.311,0.505,0.255,0.341,0.275,0.25,0.348,0.25,1,0.46799999999999997,0.743,2019-20,Gardner-Webb
Nate Johnson,293,0.608,0.57,0.195,0.544,0.355,0.191,0.446,0.16,0.614,0.41100000000000003,0.946,0.287,0.845,2019-20,Gardner-Webb
Kareem Reid,131,0.615,0.645,0.7709999999999999,0.723,0.6579999999999999,0.214,0.35700000000000004,0.6,0.015,0.5,1,0.44299999999999995,0.44799999999999995,2019-20,Gardner-Webb
Ludovic Dufeal,121,0.612,0.607,0.653,0.7340000000000001,0.759,0.124,0.133,1,0.223,0.33299999999999996,1,0.5539999999999999,0.597,2019-20,Gardner-Webb
Justin Jenkins,111.00000000000001,0.4710000000000001,0.428,0.171,0.632,0.33299999999999996,0.14400000000000002,0.43799999999999994,0.14300000000000002,0.685,0.25,0.9470000000000001,0.45,0.64,2019-20,Gardner-Webb
Christian Turner,92,0.505,0.435,0.5760000000000001,0.547,0.069,0.174,0.312,0,0.25,0.174,1,0.5,0.7609999999999999,2019-20,Gardner-Webb
Lance Terry,49,0.506,0.5,0.163,0.625,0.6,0.061,0,NA,0.7759999999999999,0.342,0.846,0.14300000000000002,0.5710000000000001,2019-20,Gardner-Webb
Gabe Bryant,11,0.581,0.545,0.818,0.667,0.667,0.182,0,NA,0,NA,NA,0.364,0.75,2019-20,Gardner-Webb
Delis Boggs,3,0,0,0,NA,NA,0.33299999999999996,0,NA,0.667,0,NA,0,NA,2019-20,Gardner-Webb
Kennedy Kincaid,2,0.75,0.75,0.5,0,NA,0,NA,NA,0.5,1,1,0,NA,2019-20,Gardner-Webb
Total,1809,0.549,0.518,0.359,0.613,0.442,0.251,0.34600000000000003,0.185,0.39,0.361,0.89,0.354,0.6940000000000001,2019-20,Gardner-Webb
