name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Elyjah Goss,42,0.245,0.23199999999999998,0.575,0.034,0,0,2019-20
Grant Weatherford,19,0.132,0.16,0.632,0,0,NA,2019-20
Zo Tyson,11,0.135,0.182,0.857,0.19,0.28600000000000003,0.5,2019-20
Isaiah Williams,10,0.133,0.139,0.5,0,0,NA,2019-20
Marcus Burk,9,0.028999999999999998,0.026000000000000002,0.5,0.024,0.03,0.5,2019-20
Taveion White,7,0.368,0.33299999999999996,0.429,0,NA,NA,2019-20
Mike DePersia,4,0.133,0.062,0.25,0,0,NA,2019-20
Brandon Kenyon,3,0.154,0.125,0.5,0.2,0,0,2019-20
Jakoby Kemp,3,0.33299999999999996,0.667,1,0.091,0,0,2019-20
Jaylen Minnett,3,0.017,0.045,1,0.009000000000000001,0,0,2019-20
Jamil Jackson,2,0.105,0.111,0.5,0,0,NA,2019-20
Sawyer Stoltz,1,NA,NA,NA,0.5,NA,0,2019-20
Total,114,0.136,0.147,0.5820000000000001,0.03,0.025,0.28600000000000003,2019-20
