name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Luka Garza,42,0.129,0.131,0.7190000000000001,0.057999999999999996,0.083,0.6,2019-20
Ryan Kriener,14,0.18100000000000002,0.16699999999999998,0.615,0.019,0.034,1,2019-20
Joe Wieskamp,9,0.067,0.055,0.5,0.015,0,0,2019-20
CJ Fredrick,5,0.079,0.08,0.667,0,0,NA,2019-20
Cordell Pemsl,5,0.094,0.14300000000000002,1,0.11800000000000001,0.25,0.5,2019-20
Joe Toussaint,3,0.033,0.044000000000000004,0.667,0,0,NA,2019-20
Connor McCaffery,2,0.042,0,0,0.026000000000000002,0.083,1,2019-20
Jack Nunge,2,0.2,0.25,0.5,0,0,NA,2019-20
Patrick McCaffery,1,0.33299999999999996,0.5,1,0,0,NA,2019-20
Bakari Evelyn,1,0,0,NA,0,0,NA,2019-20
Total,84,0.09699999999999999,0.105,0.667,0.031,0.051,0.6,2019-20
