name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Tyler Hooker,320,0.451,0.38799999999999996,0.406,0.485,0.127,0.341,0.312,0.17600000000000002,0.253,0.222,0.778,0.353,0.7879999999999999,2019-20
Bryson Lockley,229,0.4710000000000001,0.426,0.389,0.573,0.41200000000000003,0.284,0.32299999999999995,0.33299999999999996,0.32799999999999996,0.22699999999999998,1,0.336,0.7140000000000001,2019-20
Ugo Obineke,229,0.42400000000000004,0.389,0.284,0.446,0.345,0.266,0.295,0.278,0.45,0.272,0.929,0.266,0.672,2019-20
Jamie Lewis,173,0.396,0.35,0.254,0.409,0.055999999999999994,0.491,0.235,0,0.254,0.341,0.667,0.20199999999999999,0.8290000000000001,2019-20
C.J. Washington,133,0.44400000000000006,0.38,0.33799999999999997,0.511,0.261,0.24100000000000002,0.25,0.25,0.42100000000000004,0.23199999999999998,0.9229999999999999,0.353,0.787,2019-20
Terrell Burden,121,0.4300000000000001,0.36,0.537,0.385,0.16,0.306,0.37799999999999995,0.071,0.157,0.158,1,0.5870000000000001,0.648,2019-20
Adili Kuerban,101,0.43300000000000005,0.396,0.129,0.385,0,0.198,0.25,0.2,0.6729999999999999,0.294,0.95,0.228,0.7390000000000001,2019-20
Antonio Spencer,74,0.53,0.527,0.878,0.5539999999999999,0.556,0.122,0.33299999999999996,0.33299999999999996,0,NA,NA,0.23,0.529,2019-20
Pietro Agostini,59,0.40800000000000003,0.39,0.5760000000000001,0.5589999999999999,0.684,0.271,0.25,0.5,0.153,0,NA,0.254,0.5329999999999999,2019-20
Danny Lewis,50,0.386,0.38,0.14,0.7140000000000001,0.2,0.44,0.364,0,0.42,0.19,1,0.02,1,2019-20
Armani Harris,42,0.48600000000000004,0.452,0.8809999999999999,0.514,0.474,0.095,0,NA,0.024,0,NA,0.833,0.5429999999999999,2019-20
Drew Romich,24,0.365,0.33299999999999996,0.667,0.312,0.6,0.33299999999999996,0.375,1,0,NA,NA,0.41700000000000004,0.5,2019-20
Bobby Miller,16,0.344,0.312,0.43799999999999994,0,NA,0.312,0.4,0,0.25,0.5,0.5,0.188,0.667,2019-20
John Ogwuche,9,0.352,0.278,0.111,1,0,0.111,0,NA,0.778,0.14300000000000002,1,0.556,0.6,2019-20
Total,1580,0.43900000000000006,0.39299999999999996,0.391,0.484,0.321,0.3,0.295,0.2,0.309,0.248,0.884,0.325,0.7040000000000001,2019-20
