name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
James Karnik,25,0.168,0.18899999999999997,0.7390000000000001,0.032,0.034,0.5,2019-20,Lehigh
Nic Lynch,15,0.16699999999999998,0.14,0.5,0.043,0.054000000000000006,0.667,2019-20,Lehigh
Evan Taylor,8,0.14800000000000002,0.188,0.75,0,0,NA,2019-20,Lehigh
Jeameril Wilson,6,0.047,0.059000000000000004,0.833,0,0,NA,2019-20,Lehigh
Ed Porter,5,0.154,0.235,1,0.038,0,0,2019-20,Lehigh
Jordan Cohen,5,0.040999999999999995,0.044000000000000004,0.6,0,0,NA,2019-20,Lehigh
Jakob Alamudun,4,0.08,0.062,0.25,0,0,NA,2019-20,Lehigh
Marques Wilson,3,0.022000000000000002,0.051,1,0.013999999999999999,0,0,2019-20,Lehigh
Reed Fenton,3,0.044000000000000004,0.059000000000000004,0.667,0,0,NA,2019-20,Lehigh
Andrei Arion,1,0.2,0,0,0,NA,NA,2019-20,Lehigh
Total,75,0.08900000000000001,0.106,0.6759999999999999,0.013000000000000001,0.013999999999999999,0.429,2019-20,Lehigh
