name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Ahsan Asadullah,484.99999999999994,0.525,0.523,0.565,0.62,0.435,0.40399999999999997,0.40299999999999997,0.215,0.031,0.2,1,0.27399999999999997,0.519,2019-20,Lipscomb
KJ Johnson,260,0.562,0.504,0.542,0.511,0.153,0.127,0.424,0.071,0.331,0.349,0.833,0.473,0.78,2019-20,Lipscomb
Andrew Fleming,250.99999999999997,0.559,0.534,0.36700000000000005,0.5760000000000001,0.434,0.231,0.414,0.25,0.402,0.376,0.868,0.21100000000000002,0.774,2019-20,Lipscomb
Michael Buckland,219,0.596,0.5660000000000001,0.16,0.7709999999999999,0.593,0.292,0.391,0.24,0.5479999999999999,0.4,0.8959999999999999,0.233,0.8240000000000001,2019-20,Lipscomb
Greg Jones,186,0.582,0.546,0.312,0.621,0.667,0.054000000000000006,0.4,0.75,0.634,0.34700000000000003,0.927,0.29600000000000004,0.8,2019-20,Lipscomb
Miles Miller,123,0.402,0.382,0.187,0.391,0.222,0.26,0.344,0.182,0.5529999999999999,0.265,0.889,0.08900000000000001,0.818,2019-20,Lipscomb
Parker Hazen,115.99999999999999,0.485,0.44799999999999995,0.621,0.542,0.48700000000000004,0.207,0.16699999999999998,0.5,0.172,0.3,1,0.44,0.627,2019-20,Lipscomb
Carson Cary,56.00000000000001,0.612,0.598,0.125,0.857,0.33299999999999996,0.179,0.2,0,0.696,0.436,0.941,0.107,0.833,2019-20,Lipscomb
Jake Wolfe,42,0.477,0.44,0.28600000000000003,0.583,0.28600000000000003,0.214,0.444,0.25,0.5,0.23800000000000002,0.8,0.31,0.6920000000000001,2019-20,Lipscomb
Jacob Hobbs,41,0.399,0.39,0.366,0.467,0.5710000000000001,0.195,0,NA,0.439,0.33299999999999996,1,0.341,0.429,2019-20,Lipscomb
Kaleb Coleman,40,0.48600000000000004,0.45,0.125,1,0.6,0.15,0.667,0.5,0.725,0.207,0.833,0.275,0.727,2019-20,Lipscomb
John Matt Merritt,12,0.5,0.5,0.16699999999999998,0.5,1,0.583,0.7140000000000001,0,0.25,0,NA,0,NA,2019-20,Lipscomb
Alex Jones,9,0.5710000000000001,0.444,0.444,0.5,0,0.33299999999999996,0.667,0,0.222,0,NA,0.556,1,2019-20,Lipscomb
Jaxson Strates,9,0.44600000000000006,0.444,0.556,0.6,1,0.444,0.25,0,0,NA,NA,0.778,0.429,2019-20,Lipscomb
Total,1848.9999999999998,0.536,0.51,0.40299999999999997,0.5870000000000001,0.42100000000000004,0.251,0.386,0.223,0.34600000000000003,0.341,0.894,0.28800000000000003,0.6920000000000001,2019-20,Lipscomb
