name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Cameron Krutwig,15,0.064,0.061,0.643,0.008,0.019,1,2019-20
Aher Uguak,8,0.086,0.11800000000000001,0.857,0.05,0.125,1,2019-20
Marquise Kennedy,4,0.032,0.013000000000000001,0.25,0,0,NA,2019-20
Tom Welch,3,0.158,0.16699999999999998,0.667,0,0,NA,2019-20
Frank Agunanne,3,0.107,0.111,0.667,0,0,NA,2019-20
Jalon Pipkins,2,0.069,0.11800000000000001,1,0,0,NA,2019-20
Paxson Wojcik,1,0,0,NA,0.071,0,0,2019-20
Tate Hall,1,0.009000000000000001,0.013999999999999999,1,0,0,NA,2019-20
Lucas Williamson,1,0.016,0,0,0,0,NA,2019-20
Keith Clemons,1,0.02,0,0,0,0,NA,2019-20
Total,39,0.048,0.048,0.639,0.008,0.013999999999999999,0.667,2019-20
