name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Tevin Brown,385,0.599,0.557,0.281,0.602,0.16899999999999998,0.192,0.297,0.182,0.527,0.419,0.741,0.504,0.737,2019-20,MurraySt.
KJ Williams,287,0.595,0.575,0.474,0.713,0.67,0.35200000000000004,0.406,0.512,0.174,0.36,1,0.39,0.67,2019-20,MurraySt.
Jaiveon Eaves,276,0.542,0.509,0.28300000000000003,0.564,0.22699999999999998,0.29,0.4,0.375,0.428,0.364,0.86,0.24600000000000002,0.779,2019-20,MurraySt.
DaQuan  Smith,238,0.462,0.452,0.27699999999999997,0.485,0.062,0.14300000000000002,0.235,0,0.58,0.326,0.9109999999999999,0.08800000000000001,0.667,2019-20,MurraySt.
Anthony Smith,175,0.616,0.5660000000000001,0.823,0.625,0.556,0.177,0.29,0.111,0,NA,NA,0.8340000000000001,0.705,2019-20,MurraySt.
Demond Robinson,137,0.549,0.5329999999999999,0.599,0.659,0.593,0.387,0.358,0.632,0.015,0,NA,0.401,0.6,2019-20,MurraySt.
Chico Carter,93,0.557,0.5,0.441,0.488,0.1,0.258,0.41700000000000004,0.2,0.301,0.39299999999999996,1,0.312,0.897,2019-20,MurraySt.
Devin Gilmore,90,0.738,0.7390000000000001,0.856,0.753,0.534,0.133,0.583,0.429,0.011000000000000001,1,1,0.289,0.6920000000000001,2019-20,MurraySt.
Darnell Cowart,50,0.506,0.44,0.5,0.56,0.929,0.48,0.33299999999999996,0.375,0.02,0,NA,0.56,0.7140000000000001,2019-20,MurraySt.
Jason Holliday,28.000000000000004,0.29900000000000004,0.268,0.28600000000000003,0.25,0.5,0.214,0.16699999999999998,1,0.5,0.214,1,0.536,0.4,2019-20,MurraySt.
CHICO,15,0.562,0.5329999999999999,0.133,0.5,0,0.467,0.5710000000000001,0,0.4,0.33299999999999996,1,0.267,0.75,2019-20,MurraySt.
Noah Kamba,10,0.623,0.55,0.6,0.5,0,0.1,1,0,0.3,0.33299999999999996,1,0.6,0.833,2019-20,MurraySt.
Rodriguez Thomas,5,0.3,0.3,0,NA,NA,0,NA,NA,1,0.2,1,0,NA,2019-20,MurraySt.
Total,1789,0.5680000000000001,0.535,0.43200000000000005,0.621,0.452,0.25,0.36200000000000004,0.364,0.318,0.369,0.848,0.39399999999999996,0.7090000000000001,2019-20,MurraySt.
