name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Souleymane Diakite,28,0.191,0.22,0.667,0.022000000000000002,0.067,1,2019-20
Reilly Walsh,15,0.124,0.136,0.5,0.125,0,0,2019-20
"ANTONIOBRINSON,SAN",9,0.057,0.078,0.667,0.034,0.033,0.33299999999999996,2019-20
Zach Cooks,8,0.034,0.028999999999999998,0.429,0.008,0,0,2019-20
Xavier Mayo,4,0.17600000000000002,0.231,1,0.111,0,0,2019-20
Byron Breland,3,0.065,0.071,0.5,0.055999999999999994,0,0,2019-20
Shyquan Gibbs,2,0.013999999999999999,0.034,1,0,0,NA,2019-20
Kjell de Graaf,1,0,0,NA,0,NA,NA,2019-20
Levar Williams,1,0.059000000000000004,0.1,1,0,0,NA,2019-20
San Antonio Brinson,1,0.25,0,0,0,0,NA,2019-20
Total,72,0.085,0.10400000000000001,0.617,0.023,0.012,0.2,2019-20
