name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Marlon Stewart,437,0.5660000000000001,0.505,0.423,0.53,0.02,0.172,0.373,0.071,0.405,0.35600000000000004,0.73,0.506,0.7829999999999999,2019-20
De'Sean Allen-Eikens,345,0.5640000000000001,0.528,0.513,0.61,0.259,0.125,0.326,0.14300000000000002,0.36200000000000004,0.32,0.9,0.35100000000000003,0.7440000000000001,2019-20
Filip Rebraca,328,0.598,0.581,0.53,0.6779999999999999,0.466,0.442,0.49,0.39399999999999996,0.027000000000000003,0.111,1,0.35700000000000004,0.667,2019-20
Kienan Walter,283,0.607,0.565,0.244,0.594,0.439,0.127,0.47200000000000003,0.353,0.629,0.382,0.941,0.272,0.883,2019-20
Billy Brown,133,0.5650000000000001,0.534,0.21100000000000002,0.679,0.368,0.15,0.35,0.28600000000000003,0.639,0.353,0.9670000000000001,0.233,0.8059999999999999,2019-20
Brady Danielson,112.00000000000001,0.409,0.379,0.214,0.583,0.429,0.14300000000000002,0.188,0,0.643,0.23600000000000002,1,0.259,0.621,2019-20
Gertautas Urbonavicius,76,0.5730000000000001,0.513,0.342,0.5770000000000001,0.4,0.461,0.429,0.33299999999999996,0.19699999999999998,0.4,1,0.408,0.8390000000000001,2019-20
Aanen Moody,49,0.5740000000000001,0.561,0.061,0.667,0,0.122,0.5,0.33299999999999996,0.816,0.375,0.867,0.102,0.8,2019-20
Davids Atelbauers,40,0.507,0.488,0.175,0.28600000000000003,0.5,0.075,0.33299999999999996,0,0.75,0.36700000000000005,0.818,0.125,0.8,2019-20
Ethan Igbanugo,24,0.396,0.312,0.33299999999999996,0.375,1,0.042,0,NA,0.625,0.2,1,0.33299999999999996,0.875,2019-20
Bentiu Panoam,20,0.614,0.625,0.55,0.727,0.25,0.15,0,NA,0.3,0.5,0.667,0.55,0.545,2019-20
Marko Coudreau,20,0.5,0.5,0.45,0.667,0.5,0.15,0.33299999999999996,1,0.4,0.25,1,0,NA,2019-20
Zac Saddler,8,0.33499999999999996,0.25,0.75,0.33299999999999996,1,0,NA,NA,0.25,0,NA,0.25,1,2019-20
Total,1875,0.5650000000000001,0.525,0.38799999999999996,0.6,0.305,0.20600000000000002,0.415,0.294,0.406,0.34,0.88,0.35100000000000003,0.7609999999999999,2019-20
