name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Alpha Diallo,374,0.48900000000000005,0.455,0.46799999999999997,0.537,0.40399999999999997,0.275,0.301,0.355,0.257,0.312,0.867,0.406,0.632,2019-20,Providence
David Duke,286,0.542,0.483,0.402,0.478,0.382,0.248,0.282,0.4,0.35,0.42,0.81,0.423,0.7929999999999999,2019-20,Providence
Luwane Pipkins,276,0.533,0.475,0.156,0.535,0.217,0.18100000000000002,0.36,0,0.6629999999999999,0.32799999999999996,0.867,0.297,0.902,2019-20,Providence
Maliek White,227.99999999999997,0.455,0.414,0.34600000000000003,0.532,0.429,0.149,0.17600000000000002,0.16699999999999998,0.504,0.27,0.8390000000000001,0.281,0.7190000000000001,2019-20,Providence
A.J. Reeves,190,0.494,0.474,0.253,0.521,0.56,0.163,0.258,0.5,0.584,0.342,0.868,0.205,0.667,2019-20,Providence
Nate Watson,188,0.527,0.511,0.612,0.583,0.373,0.38799999999999996,0.397,0.69,0,NA,NA,0.489,0.565,2019-20,Providence
Kalif Young,123,0.533,0.524,0.593,0.63,0.565,0.39,0.354,0.706,0.016,0.5,1,0.39799999999999996,0.551,2019-20,Providence
Emmitt Holt,99,0.553,0.515,0.444,0.591,0.731,0.23199999999999998,0.304,1,0.32299999999999995,0.375,0.917,0.374,0.73,2019-20,Providence
Greg Gantt,57.99999999999999,0.515,0.483,0.379,0.591,0.231,0.276,0.375,0.667,0.345,0.3,1,0.32799999999999996,0.684,2019-20,Providence
Jr.  Nichols,13,0.381,0.385,0.462,0.667,1,0.231,0.33299999999999996,1,0.308,0,NA,0.231,0.33299999999999996,2019-20,Providence
Andrew Fonts,8,0.455,0.375,0.125,0,NA,0,NA,NA,0.875,0.28600000000000003,1,0.5,0.75,2019-20,Providence
Kris Monroe,8,0.447,0.5,0,NA,NA,0.125,1,1,0.875,0.28600000000000003,1,0.25,0,2019-20,Providence
Tommy  Dempsey,1,1.5,1.5,0,NA,NA,0,NA,NA,1,1,1,0,NA,2019-20,Providence
Total,1852,0.511,0.473,0.389,0.5479999999999999,0.43799999999999994,0.245,0.318,0.479,0.366,0.332,0.862,0.359,0.6940000000000001,2019-20,Providence
