name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Kevon Harris,357,0.604,0.55,0.434,0.568,0.318,0.165,0.33899999999999997,0.2,0.401,0.413,0.8640000000000001,0.5379999999999999,0.7709999999999999,2019-20
Cameron Johnson,248,0.604,0.573,0.593,0.66,0.433,0.242,0.4,0.16699999999999998,0.165,0.341,1,0.375,0.742,2019-20
Roti Ware,227,0.559,0.52,0.366,0.53,0.159,0.326,0.392,0.31,0.308,0.429,0.9670000000000001,0.326,0.77,2019-20
Gavin Kensmil,220.00000000000003,0.623,0.605,0.877,0.648,0.5920000000000001,0.11800000000000001,0.308,0.5,0.005,0,NA,0.614,0.652,2019-20
John Comeaux,165,0.5750000000000001,0.512,0.539,0.573,0.13699999999999998,0.121,0.25,0,0.33899999999999997,0.33899999999999997,0.9470000000000001,0.5820000000000001,0.76,2019-20
David Kachelries,130,0.555,0.542,0.4,0.6920000000000001,0.5,0.077,0.6,0.33299999999999996,0.523,0.27899999999999997,0.895,0.16899999999999998,0.682,2019-20
Nathan Bain,121,0.5790000000000001,0.537,0.545,0.682,0.5329999999999999,0.24,0.172,0.4,0.215,0.385,1,0.331,0.8,2019-20
Oddyst Walker,91,0.441,0.434,0.165,0.667,0.3,0.14300000000000002,0.077,0,0.6920000000000001,0.302,0.8420000000000001,0.17600000000000002,0.5,2019-20
Charlie Daniels,84,0.543,0.5539999999999999,0.643,0.611,0.6970000000000001,0.345,0.414,0.583,0.012,1,1,0.5710000000000001,0.479,2019-20
Calvin Solomon,72,0.438,0.45799999999999996,0.8059999999999999,0.534,0.419,0.19399999999999998,0.14300000000000002,0.5,0,NA,NA,0.764,0.364,2019-20
Sama'Zha Hart,69,0.529,0.507,0.623,0.5579999999999999,0.5,0.203,0.5710000000000001,0.625,0.174,0.16699999999999998,1,0.23199999999999998,0.688,2019-20
Tyler Zivney,20,0.621,0.6,0.1,1,1,0.3,0.16699999999999998,1,0.6,0.5,1,0.1,1,2019-20
Kharee McDaniel,2,0.404,0.5,0.5,1,0,0,NA,NA,0.5,0,NA,0.5,0,2019-20
Total,1805.9999999999998,0.5730000000000001,0.541,0.53,0.613,0.431,0.196,0.342,0.322,0.27399999999999997,0.36200000000000004,0.9159999999999999,0.43700000000000006,0.691,2019-20
