name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Laquincy Rideau,388,0.44800000000000006,0.429,0.415,0.47200000000000003,0.11800000000000001,0.209,0.321,0.077,0.376,0.295,0.5579999999999999,0.271,0.562,2019-20,SouthFla.
David Collins,308,0.49899999999999994,0.43700000000000006,0.575,0.52,0.152,0.136,0.19,0,0.289,0.258,0.9129999999999999,0.701,0.653,2019-20,SouthFla.
Justin Brown,238,0.54,0.502,0.105,0.64,0.375,0.20600000000000002,0.429,0.429,0.6890000000000001,0.335,0.927,0.214,0.863,2019-20,SouthFla.
Ezacuras Dawson,167,0.515,0.494,0.335,0.48200000000000004,0.33299999999999996,0.174,0.31,0.222,0.491,0.37799999999999995,0.871,0.24600000000000002,0.659,2019-20,SouthFla.
Xavier Castaneda,157,0.447,0.41100000000000003,0.248,0.41,0.062,0.242,0.289,0,0.51,0.312,0.92,0.293,0.674,2019-20,SouthFla.
Michael Durr,155,0.525,0.49,0.523,0.654,0.528,0.45799999999999996,0.324,0.478,0.019,0,NA,0.51,0.633,2019-20,SouthFla.
Antun Maricevic,86,0.611,0.593,0.442,0.684,0.5770000000000001,0.547,0.532,0.64,0.012,0,NA,0.337,0.69,2019-20,SouthFla.
Rashun Williams,73,0.48400000000000004,0.5,0.384,0.643,0.16699999999999998,0.12300000000000001,0.222,0.5,0.493,0.306,1,0.397,0.379,2019-20,SouthFla.
B.J. Mack,34,0.529,0.485,0.08800000000000001,0.33299999999999996,0,0.5,0.647,0.727,0.41200000000000003,0.214,1,0.17600000000000002,1,2019-20,SouthFla.
Madut Akec,27,0.608,0.556,0.444,0.667,0.625,0.14800000000000002,0.25,1,0.40700000000000003,0.364,1,0.33299999999999996,0.889,2019-20,SouthFla.
Jamir Chaplin,20,0.371,0.3,0.4,0.625,0.6,0.2,0.25,0,0.4,0,NA,0.45,0.667,2019-20,SouthFla.
Mark  Calleja,1,1.5,1.5,0,NA,NA,0,NA,NA,1,1,1,0,NA,2019-20,SouthFla.
"RAI,AARYN",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-20,SouthFla.
Total,1654,0.49899999999999994,0.466,0.38,0.5379999999999999,0.275,0.23600000000000002,0.353,0.36200000000000004,0.384,0.309,0.8420000000000001,0.375,0.65,2019-20,SouthFla.
