name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Alex Caldwell,320,0.512,0.47700000000000004,0.162,0.5579999999999999,0.207,0.419,0.418,0.14300000000000002,0.419,0.336,0.622,0.228,0.795,2019-20
Skyler Hogan,265,0.518,0.49200000000000005,0.20800000000000002,0.545,0.5670000000000001,0.294,0.34600000000000003,0.519,0.498,0.371,0.98,0.151,0.825,2019-20
Sage Tolbert,189,0.586,0.556,0.7090000000000001,0.664,0.43799999999999994,0.23800000000000002,0.289,0.308,0.053,0.2,1,0.72,0.64,2019-20
DQ Nicholas,182,0.507,0.445,0.324,0.5589999999999999,0.303,0.34600000000000003,0.33299999999999996,0.23800000000000002,0.33,0.3,0.889,0.484,0.7390000000000001,2019-20
Quatarrius  Wilson,164,0.503,0.44799999999999995,0.573,0.596,0.39299999999999996,0.354,0.276,0.5,0.073,0.083,1,0.713,0.632,2019-20
Isaiah Gable,148,0.48600000000000004,0.47,0.203,0.633,0.579,0.122,0.389,0.7140000000000001,0.6759999999999999,0.29,0.966,0.162,0.667,2019-20
Nygal Russell,148,0.533,0.51,0.439,0.5539999999999999,0.306,0.10800000000000001,0.312,0.2,0.45299999999999996,0.34299999999999997,0.9129999999999999,0.243,0.6940000000000001,2019-20
Darrious Agnew,93,0.47000000000000003,0.43,0.634,0.475,0.28600000000000003,0.28,0.34600000000000003,0.222,0.086,0.25,1,0.376,0.657,2019-20
Oscar Kao,84,0.373,0.33899999999999997,0.33299999999999996,0.46399999999999997,0.154,0.429,0.222,0.25,0.23800000000000002,0.25,1,0.179,0.733,2019-20
Jordan Love,83,0.404,0.36700000000000005,0.349,0.483,0.28600000000000003,0.41,0.265,0.111,0.24100000000000002,0.25,1,0.373,0.581,2019-20
Khalil Cuffee,22,0.5730000000000001,0.545,0.22699999999999998,0.8,0.25,0.091,1,0,0.682,0.267,0.75,0.318,0.7140000000000001,2019-20
Chris Harris,15,0.7849999999999999,0.767,0.267,0.5,0,0.267,0.5,0,0.467,0.7140000000000001,1,0.667,0.8,2019-20
Evan Morrison,14.000000000000002,0.393,0.39299999999999996,0.071,0,NA,0.14300000000000002,0.5,1,0.7859999999999999,0.273,0.667,0,NA,2019-20
Total,1727,0.509,0.47200000000000003,0.35600000000000004,0.574,0.371,0.299,0.341,0.29,0.345,0.32,0.8690000000000001,0.354,0.691,2019-20
