name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Ty Gordon,333,0.503,0.48,0.405,0.489,0.28800000000000003,0.099,0.212,0.28600000000000003,0.495,0.35200000000000004,0.7070000000000001,0.258,0.6509999999999999,2019-20,Troy
Darian Adams,288,0.48000000000000004,0.44299999999999995,0.174,0.36,0.111,0.233,0.358,0.16699999999999998,0.594,0.33299999999999996,0.754,0.201,0.828,2019-20,Troy
Desmond Williams,200,0.529,0.495,0.28,0.48200000000000004,0.259,0.18,0.25,0,0.54,0.389,0.643,0.235,0.787,2019-20,Troy
Charles Norman,156,0.536,0.503,0.154,0.583,0.7140000000000001,0.109,0.353,0,0.737,0.33899999999999997,0.821,0.237,0.784,2019-20,Troy
KJ Simon,143,0.451,0.44799999999999995,0.47600000000000003,0.5589999999999999,0.447,0.217,0.258,0.25,0.308,0.273,0.917,0.294,0.452,2019-20,Troy
Davion Thomas,141,0.45799999999999996,0.429,0.298,0.5479999999999999,0.7829999999999999,0.284,0.3,0.5,0.418,0.28800000000000003,0.941,0.27699999999999997,0.6409999999999999,2019-20,Troy
Nick Stampley,137,0.52,0.46,0.569,0.667,0.5770000000000001,0.168,0.217,0.4,0.263,0.111,1,0.467,0.75,2019-20,Troy
Zay Williams,136,0.539,0.518,0.551,0.667,0.78,0.39,0.358,0.368,0.059000000000000004,0.125,1,0.449,0.607,2019-20,Troy
Tahj Small,132,0.465,0.44299999999999995,0.318,0.5,0.381,0.182,0.5,0.5,0.5,0.258,0.941,0.159,0.7140000000000001,2019-20,Troy
Jakevan Leftridge,62,0.5790000000000001,0.556,0.597,0.595,0.364,0.09699999999999999,0.33299999999999996,0.5,0.306,0.368,1,0.242,0.733,2019-20,Troy
Khalyl Waters,61,0.522,0.467,0.738,0.578,0.5379999999999999,0.16399999999999998,0.1,0,0.098,0.16699999999999998,0,0.672,0.659,2019-20,Troy
Tyrek  Williams,50,0.466,0.45,0.58,0.44799999999999995,0.231,0.28,0.35700000000000004,0.4,0.14,0.429,0.667,0.38,0.526,2019-20,Troy
Atakan Sahinkaya,28.999999999999996,0.381,0.36200000000000004,0.586,0.47100000000000003,0.625,0.10300000000000001,0.33299999999999996,0,0.31,0.111,1,0.655,0.42100000000000004,2019-20,Troy
Jalen Tuck,10,0.3,0.3,0.2,0,NA,0,NA,NA,0.8,0.25,1,0,NA,2019-20,Troy
Total,1878,0.498,0.469,0.373,0.54,0.47600000000000003,0.19,0.311,0.28800000000000003,0.43700000000000006,0.318,0.778,0.292,0.674,2019-20,Troy
