name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Amadou Sow,307,0.604,0.573,0.423,0.723,0.617,0.44,0.43,0.621,0.13699999999999998,0.381,0.75,0.375,0.7390000000000001,2019-20
Jaquori McLaughlin,277,0.585,0.523,0.22399999999999998,0.597,0.21600000000000003,0.386,0.39299999999999996,0.31,0.39,0.40700000000000003,0.8859999999999999,0.502,0.799,2019-20
Matt Freeman,236,0.561,0.523,0.157,0.649,0.45799999999999996,0.301,0.366,0.5770000000000001,0.542,0.38299999999999995,0.9390000000000001,0.21600000000000003,0.882,2019-20
Max Heidegger,214,0.5780000000000001,0.537,0.355,0.684,0.212,0.22899999999999998,0.306,0.067,0.41600000000000004,0.36,0.469,0.34600000000000003,0.784,2019-20
Devearl Ramsey,206,0.517,0.447,0.29100000000000004,0.41700000000000004,0.28,0.257,0.415,0.045,0.451,0.32299999999999995,0.767,0.364,0.88,2019-20
Brandon Cyrus,174,0.44600000000000006,0.41100000000000003,0.402,0.586,0.634,0.264,0.304,0.643,0.33299999999999996,0.19,0.727,0.27,0.6809999999999999,2019-20
Robinson Idehen,105,0.655,0.6859999999999999,0.743,0.782,0.557,0.248,0.423,0.727,0.01,0,NA,0.667,0.529,2019-20
Sekou Touré,84,0.483,0.44,0.583,0.612,0.467,0.25,0.19,0.75,0.16699999999999998,0.14300000000000002,1,0.33299999999999996,0.7140000000000001,2019-20
Jay Nagle,56.00000000000001,0.506,0.48200000000000004,0.071,0.5,0,0.179,0.4,0.25,0.75,0.33299999999999996,1,0.125,0.857,2019-20
Roberto Gittens,13,0.492,0.462,0.154,1,0.5,0.077,1,0,0.769,0.2,0.5,0.6920000000000001,0.556,2019-20
Total,1672,0.559,0.517,0.34,0.648,0.462,0.31,0.38,0.442,0.35,0.342,0.8,0.368,0.7559999999999999,2019-20
