name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Christian Lutete,426,0.614,0.593,0.434,0.6809999999999999,0.349,0.157,0.433,0.31,0.408,0.374,0.754,0.387,0.691,2019-20
Obadiah Noel,399,0.58,0.546,0.429,0.632,0.35200000000000004,0.271,0.35200000000000004,0.079,0.301,0.4,0.792,0.539,0.674,2019-20
Ron Mitchell,225,0.49899999999999994,0.451,0.436,0.49,0.292,0.16,0.278,0.1,0.40399999999999997,0.319,0.7929999999999999,0.276,0.823,2019-20
Connor Withers,218.00000000000003,0.586,0.546,0.47200000000000003,0.65,0.731,0.271,0.475,0.643,0.257,0.28600000000000003,1,0.307,0.821,2019-20
Josh Gantz,185,0.608,0.5760000000000001,0.503,0.645,0.75,0.11900000000000001,0.545,0.75,0.37799999999999995,0.32899999999999996,0.9129999999999999,0.205,0.895,2019-20
Jordyn Owens,143,0.41800000000000004,0.35,0.462,0.318,0.048,0.098,0.35700000000000004,0,0.441,0.254,0.812,0.44799999999999995,0.703,2019-20
Allin Blunt,92,0.48400000000000004,0.44,0.457,0.5710000000000001,0.542,0.326,0.3,0.778,0.217,0.25,1,0.565,0.615,2019-20
Kalil Thomas,64,0.527,0.5,0.125,0.625,0.2,0.094,0,NA,0.7809999999999999,0.36,0.722,0.23399999999999999,0.733,2019-20
Joey Glynn,32,0.41000000000000003,0.406,0.43799999999999994,0.5710000000000001,0.5,0.562,0.278,0.8,0,NA,NA,0.062,0.5,2019-20
Darius Henderson,26,0.547,0.5379999999999999,0.308,0.875,0.5710000000000001,0.5379999999999999,0.28600000000000003,0.75,0.154,0.5,1,0.115,0.667,2019-20
Luka Maziashvili,17,0.052000000000000005,0.059000000000000004,0.47100000000000003,0,NA,0.235,0.25,0,0.294,0,NA,0.294,0,2019-20
Donovan Ivory,3,0.33299999999999996,0.33299999999999996,0.33299999999999996,1,1,0,NA,NA,0.667,0,NA,0,NA,2019-20
"HARPER,JONAS",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-20
Total,1830,0.554,0.519,0.436,0.596,0.451,0.207,0.373,0.38299999999999995,0.358,0.33899999999999997,0.8109999999999999,0.376,0.7120000000000001,2019-20
