name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Nevin Zink,13,0.098,0.084,0.583,0.053,0,0,2019-20,USCUpstate
Thomas Booker,13,0.33299999999999996,0.35,0.583,0.02,0,0,2019-20,USCUpstate
Josh Aldrich,10,0.243,0.24,0.667,0.125,0,0,2019-20,USCUpstate
Everette Hammond,9,0.054000000000000006,0.038,0.375,0.009000000000000001,0.025,1,2019-20,USCUpstate
Brandon Martin,8,0.09699999999999999,0.105,0.5710000000000001,0.024,0,0,2019-20,USCUpstate
Bryson Mozone,8,0.242,0.11800000000000001,0.25,0,0,NA,2019-20,USCUpstate
Mysta Goodloe,5,0.19,0.444,1,0.1,0.5,1,2019-20,USCUpstate
Jatayveous Watson ,4,0.138,0.16699999999999998,0.75,0,0,NA,2019-20,USCUpstate
Tommy Bruner,4,0.016,0.016,0.5,0.011000000000000001,0.025,1,2019-20,USCUpstate
Cartier Jernigan ,3,0.094,0.062,0.33299999999999996,0,0,NA,2019-20,USCUpstate
Khydarius Smith,3,0.08,0.095,1,0.1,0.33299999999999996,1,2019-20,USCUpstate
Dalvin White,2,0.054000000000000006,0.059000000000000004,0.5,0,0,NA,2019-20,USCUpstate
Total,82,0.10099999999999999,0.10099999999999999,0.562,0.016,0.022000000000000002,0.5,2019-20,USCUpstate
