name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Olivier Sarr,29,0.205,0.22399999999999998,0.731,0.024,0,0,2019-20
Ody Oguama,21,0.426,0.452,0.7,0.1,NA,0,2019-20
Isaiah Mucius,18,0.192,0.25,0.6,0.035,0.026000000000000002,0.33299999999999996,2019-20
Chaundee Brown,11,0.162,0.125,0.455,0,0,NA,2019-20
Andrien White,5,0.091,0.105,0.5,0,0,NA,2019-20
Michael Wynn,3,0.375,0.33299999999999996,0.667,0,NA,NA,2019-20
Torry Johnson,2,0,0,NA,0.045,0.059000000000000004,0.5,2019-20
Jahcobi Neath,2,0.028999999999999998,0.031,0.5,0,0,NA,2019-20
Brandon Childress,1,0,0,NA,0,0,NA,2019-20
Ismael Massoud,1,0.067,0,0,0,0,NA,2019-20
Total,93,0.136,0.153,0.634,0.016,0.009000000000000001,0.222,2019-20
