name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Tim Fuller,19,0.142,0.165,0.8240000000000001,0.059000000000000004,0.077,0.5,2019-20
Michal Kozak,12,0.16399999999999998,0.114,0.4,0.034,0.036000000000000004,0.5,2019-20
Dima Zdor,12,0.244,0.24,0.6,0.071,0,0,2019-20
Cody John,7,0.025,0.027000000000000003,0.667,0.021,0,0,2019-20
Kham Davis,5,0.061,0.059000000000000004,0.667,0.043,0,0,2019-20
Israel Barnes,4,0.083,0.08,0.667,0.1,0,0,2019-20
Jerrick Harding,3,0.015,0.011000000000000001,0.5,0,0,NA,2019-20
KJ Cunningham,3,0.042,0.071,1,0.035,0,0,2019-20
Donatas Kupsas,1,0.5,0.5,1,0,0,NA,2019-20
Total,66,0.081,0.083,0.66,0.024,0.01,0.154,2019-20
