name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Charles Bassey,14,0.20800000000000002,0.14300000000000002,0.5,0.085,0.05,0.25,2019-20,WesternKy.
Carson Williams,14,0.084,0.086,0.6920000000000001,0,0,NA,2019-20,WesternKy.
Josh Anderson,10,0.076,0.068,0.556,0.023,0,0,2019-20,WesternKy.
Jared Savage,10,0.113,0.147,0.833,0.038,0,0,2019-20,WesternKy.
Taveion Hollingsworth,9,0.036000000000000004,0.040999999999999995,0.75,0.028999999999999998,0.043,0.6,2019-20,WesternKy.
Matt Horton,4,0.33299999999999996,0.429,1,0.16699999999999998,1,1,2019-20,WesternKy.
Jordan Rawls,3,0.043,0.091,1,0.013999999999999999,0,0,2019-20,WesternKy.
Isaiah Cozart,2,0.16699999999999998,0.16699999999999998,0.5,0,0,NA,2019-20,WesternKy.
Camron Justice,1,0,0,NA,0,0,NA,2019-20,WesternKy.
Total,67,0.08,0.084,0.6729999999999999,0.027999999999999997,0.027999999999999997,0.385,2019-20,WesternKy.
